NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050
150000000630;2015;2;F;0;1;1;2;0;2;1;0;3531803;Monte Mor;35;SP;2;1;1;0;;;;3531803;Monte Mor;35;SP;1;1;1;1;238;234;242;246;536.3;623.5;618.4;497.1;DCBDBBCDDBABEBEDDADAEBBBCAEECCBDDDEEBCAECDBCD;ADACAECEDBEDDEEDCEDBAADDCBEECDBBDAAEBCBBEBAAD;99999BDABDBBEBBECDBCECCEABCBAECCEAACEDCCBDDCEAECDB;DDDBDABBCDDDEBDBDCDACCACBDEABDECBCDEEBDCADCCB;1;DDCEEEABBBAADDEDBECBCABCAEDCBCAADBCEAAEEDCBCD;ADECAEAEDBDADEEACEBCECBACBBCEEBBDEACBCABDDADC;CEDAABDACDBDEDBDCDDCEDCDABEBAECCEABCECCBABDEEBEABB;DAEACAAEBADDBBEBCCCEBEEDCAADCBEDACCEDCABDBDEC;1;120;140;100;120;80;560;C;F;C;D;4;F;A;C;C;A;B;B;B;A;A;B;A;B;B;A;B;E;B;B;B;A;;;;;;;;5;5;4;5;5;4;5;;A;A;A;A;B;A;D;A;A
150000000631;2015;11;F;1;1;1;1;10;1;;0;;;;;;;;0;;;;3201308;Cariacica;32;ES;1;1;1;1;237;233;242;246;590.7;630.5;545.3;663.1;ADDDBCDAEBEAEADBEEBEDBACDADEDDBBADCBAECCDDEDC;CABDAEDAEEBEEEBDECCBCBBDEBADBCEDEEDEBCACCA*CE;BBECA99999BDEBBCCDABECCEABAEAACCDCBCEDAADDBECBEEAC;DEDDCBCDAADEDBEBCCCDACECAACBBBCBCBCEBDABCDBEC;0;EADDCCBEEDCEAABBBEEADBCABCDEDAADBECBAEBCACDDC;CABDDEDADCBBCEBCEACBCBBECBADBDADCEEEAADECAEAE;CEDAABDACDBDEDBDCDDCEDCDABEBAECCEABCECCBABDEEBEABB;DAEACAAEBADDBBEBCCCEBEEDCAADCBEDACCEDCABDBDEC;1;140;160;140;160;160;760;B;B;D;B;2;E;A;C;C;B;A;B;A;B;A;B;A;A;B;A;A;C;A;C;B;C;C;E;0;0;5;5;5;5;5;0;0;5;0;0;0;A;A;A;A;A;C;A;A;A
150000000632;2015;6;M;0;2;1;4;0;1;;0;;;;;;;;1;SECRETARIA ESTADUAL - MG;31;MG;3106200;Belo Horizonte;31;MG;1;1;0;0;238;234;;;510.7;608.2;;;DEDECCDBCEEDACADAABABEBECDADBEEBDBDEEEEECEDCD;DDBCCECEDDEADEEDCACDAEBEEEBCECDDDEECDCABDDEDA;;;0;DDCEEEABBBAADDEDBECBCABCAEDCBCAADBCEAAEEDCBCD;ADECAEAEDBDADEEACEBCECBACBBCEEBBDEACBCABDDADC;;;4;0;0;0;0;0;0;D;D;B;B;3;D;A;B;B;A;A;B;A;B;A;B;A;A;B;A;B;B;B;B;B;C;A;D;5;5;5;5;5;5;5;5;5;5;5;3;3;A;A;B;B;D;A;A;C;C
150000000633;2015;12;M;0;3;1;1;10;1;;0;;;;;;;;0;;;;1501402;Belém;15;PA;1;1;1;1;235;231;239;243;468.9;559;477.8;519.7;DDCDCDDBDEDBDAEAACCADEEABCBBABDDCBEACEBADEBCC;DEBEEDACEBDAEAEAAACBEDCDBADAAECBABECDDEABCBBD;99999EEDBBDEEABDBBEBBCCEDACBBECBECBEEAEDDECCCACACB;DACBDDEADCDBAEEBBDACBDDCBABCCDEBACEBDACDEABDB;1;DCCDBCAAEBECBAADADBDEDEEBBBCABCCEAAEEDCBDDCEA;AEAEADECEADEDBDACBBCEEECBADCEBCEACBBBDADCCABD;CDEAADCDBABDEBECECCDBBEBEABBABDCDADEEDCDAECCABBDCE;DBBBADCADAEAEDCADCBECAAEDACCCEBDECABDBEEDEBCC;1;120;120;120;120;80;560;C;B;D;D;2;C;A;B;B;A;A;B;A;A;A;A;A;A;B;B;A;C;A;A;A;C;E;E;4;5;5;5;5;5;5;5;5;5;5;5;5;A;A;A;A;A;A;A;A;A
150000000634;2015;1;F;0;1;1;3;0;1;;1;;;;;;;;0;;;;5217104;Piracanjuba;52;GO;1;1;1;1;235;231;239;243;494.7;592.6;532.1;482.8;DCCCCEBCCBEDEECDEDDBAEDBCBADADBDEDADEAEAAACDD;EECEEDDAEDDEAEDACBBEEDACCEDDECEEEACADDADDDBBD;99999BCDAEEDEBEEECEDBDEEEABADEBADDDEEDEAACCCDEADAB;EABCECBACDEEAECCCBAEBCDAECBCDCECEBAAEBABEDBCC;1;DCCDBCAAEBECBAADADBDEDEEBBBCABCCEAAEEDCBDDCEA;AEAEADECEADEDBDACBBCEEECBADCEBCEACBBBDADCCABD;CDEAADCDBABDEBECECCDBBEBEABBABDCDADEEDCDAECCABBDCE;DBBBADCADAEAEDCADCBECAAEDACCCEBDECABDBEEDEBCC;1;120;120;140;120;60;560;B;B;A;B;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;C;B;A;A;A;;;;;;;;5;5;1;5;4;5;5;;A;A;A;A;C;A;A;A;A
150000000635;2015;12;F;0;2;1;1;5;1;;0;;;;;;;;0;;;;2927408;Salvador;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;4;0;0;0;0;0;0;H;A;F;B;5;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B;C;B;D;5;5;5;5;5;5;5;5;5;5;5;5;5;A;B;B;C;A;A;B;B;C
150000000636;2015;8;F;1;1;1;1;6;1;;0;;;;;;;;0;;;;2604106;Caruaru;26;PE;0;0;0;0;;;;;;;;;;;;;1;;;;;4;0;0;0;0;0;0;F;E;C;B;6;D;A;C;D;B;A;B;A;B;A;B;A;B;C;A;A;E;B;B;B;C;B;E;5;5;5;5;5;5;5;5;5;5;5;5;5;B;A;A;A;A;A;A;A;A
150000000637;2015;3;M;0;1;1;1;2;1;;0;;;;;;;;0;;;;3171303;Viçosa;31;MG;1;1;1;1;238;234;239;243;624;661.3;594.6;761.1;ADCEEEDDCBBBDBCDDEBAEBDEBBDABCAAABBEBEEEBCBCD;BCECAEAEDDDEAEEAEEBCEABACBBCEEEDDECBBCBBDDDCC;BCEAA99999BCEBECEDEBBCBEEABABBDCDADEEEEDAACCEABDCE;DABCADBADCDEEBCADBBECABEDEBCDEDDECABCBCAAEBCC;0;DDCEEEABBBAADDEDBECBCABCAEDCBCAADBCEAAEEDCBCD;ADECAEAEDBDADEEACEBCECBACBBCEEBBDEACBCABDDADC;CDEAADCDBABDEBECECCDBBEBEABBABDCDADEEDCDAECCABBDCE;DBBBADCADAEAEDCADCBECAAEDACCCEBDECABDBEEDEBCC;1;160;120;140;120;80;620;E;E;A;A;4;K;B;C;D;C;A;B;B;B;A;B;A;A;C;B;B;E;B;C;B;A;;;;;;;;5;5;0;0;2;5;5;;C;A;B;A;A;D;A;A;A
150000000638;2015;4;M;0;3;1;1;2;1;;0;;;;;;;;0;;;;3300407;Barra Mansa;33;RJ;1;1;1;1;237;233;240;244;530.5;605.5;534.2;553.5;EAEACBEDEACEAABDBEBCADBDDAABECEBBABDBCCAECDAC;CBBBDEBADCBCBECEBCCACDBCEBDBBDEDEEEEDBCCEAEBE;AAAEE99999DAECCCECEABCCBDDCEDADCBBBCCEADAADBCEADBE;EBDCAABBBDDDDECBDCBEBAACAACAAACBCEAABCBEBEADB;0;EADDCCBEEDCEAABBBEEADBCABCDEDAADBECBAEBCACDDC;CABDDEDADCBBCEBCEACBCBBECBADBDADCEEEAADECAEAE;AACDEBACDDBEDDCEABBAECCDCDDEEEABBABDCDABEBDBCECCBE;EBCCBEEDABDBDECDACCEDCCECAAEADCBEDAEACABADDBB;1;140;140;140;120;100;640;C;F;C;D;4;B;A;B;C;B;A;B;A;B;A;B;A;A;B;B;B;D;A;B;B;C;E;D;4;0;5;5;5;5;5;3;4;4;5;4;4;A;A;A;A;A;A;A;A;A
150000000639;2015;4;M;0;2;1;1;3;1;;0;;;;;;;;0;;;;3513009;Cotia;35;SP;1;1;1;1;236;232;242;246;523.2;622.6;537.3;562.3;ADACBDEEADEEADACBAEDBCECAABDBCADADEDCADACABAB;DACACABAEABADEDBACBAEBCEBCDECBEBDADDBAEADEDEA;ACECC99999BDEDBACDBABADDCDCAAECCDACAECCAADDEEACAEC;ADDDBABCCDCDDBEBDCABBCCEAACDABBAAEDEACEACDDEE;0;AEDCADBCABCCBBBBEEDCEAABECBDDCCDEAEEDEDAADBCA;DADCCABDEACBCEEDECBABBCEBCDECBBEADBDAAEAEADEC;CEDAABDACDBDEDBDCDDCEDCDABEBAECCEABCECCBABDEEBEABB;DAEACAAEBADDBBEBCCCEBEEDCAADCBEDACCEDCABDBDEC;1;140;140;100;100;40;520;E;B;B;B;5;E;A;B;C;A;A;B;A;B;A;A;A;B;B;A;A;C;A;B;B;C;D;D;4;0;5;5;3;5;5;4;5;5;5;5;5;A;A;A;A;A;A;A;A;A
