NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_NACIONALIDADE;TP_ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075;Q076
130005703786;2013;6;F;1;1;2011;;1;0;3;;;;;;;;;;;;1302603;MANAUS;13;AM;1;1;1;1;172;168;176;180;461.2;537.8;506.6;483.3;DABDEACEBDBCACDBACABECBBECACCADBEDDAABABCDECA;BEECDBAEDAAAADBEAAEBCEAEDBCADEDDDCBAEADCABBAC;ABCEDAAAEACDABDCBBAECCADADECCABDECEAACBADEBCE;CDBCDAACCEADDABEDCBACDBACDCABCCBDEBBAEACDCBEA;0;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;ABCCCCEACBAEACEBCBDDABDDBDCAAEDECDABBECCEEACDBEECE;CAACDDAEEBACEDBCAABBEBEDCBBDCECBDADCBADCDEEDC;7;160;120;120;120;80;600;B;B;D;7;A;B;A;A;A;D;D;A;A;A;A;B;D;D;D;D;A;A;5;1;1;1;5;5;5;C;B;A;B;A;A;A;A;A;A;16;E;5;0;5;3;5;A;B;B;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005703787;2013;13;F;1;3;;;;1;3;;;;;;;;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARÁ;15;PA;1505809;PORTEL;15;PA;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;I;I;B;5;A;B;A;A;D;D;D;A;A;D;D;A;D;D;D;D;A;C;5;5;5;5;5;5;5;E;E;A;F;A;A;A;A;A;A;;;;;;;;;;;;;;;A;A;B;B;B;B;A;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;C
130005703788;2013;9;M;2;1;2010;;1;0;1;;;;;;;;;;;;1100106;GUAJARA-MIRIM;11;RO;1;1;1;1;171;167;177;181;422.7;444.2;356.4;369.2;AACDEDDAAAADBABDCBACCECACACADDAEABECAACCABEAA;CBCDDCEDBDEAEACAAACAACBEDBCCBBCAAABCAEDAAACEA;AABCAECABAADCAEDCBDACEABAAEBEBCABEAEDAEBABBDA;CAACAEECAECCECCDACCABADCDACDDBAEACABECEABABCD;1;BBEDABEBDABAAABCBCBCACBECDEACECDBDBAADBAEBDBA;EAEBABBBBCCDEABEDBBCDDBDABCAEECCBCBACCCACACCA;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;120;120;120;120;0;480;B;C;B;2;C;A;A;A;D;D;D;A;A;D;B;D;D;D;D;D;A;B;5;5;5;5;5;5;5;C;A;A;C;A;A;A;A;A;A;18;B;5;5;5;5;5;A;B;B;B;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
130005703789;2013;4;F;1;1;2010;;1;0;0;;;;;;;;;;;;2311405;QUIXERAMOBIM;23;CE;1;1;1;1;174;170;177;181;403.6;407.7;470.2;386.3;ABDAEECACEBBBCEAEDBECDBBCDDACEBAADAAEDBDEBEDC;EADBDBCADEBDACADBCEABEBACABAEEACBADBDBAEABACB;ADCEBEADDEBCECACBDCDABEDEBAEDBABCACECCBEAEABE;BEADBAACEBDCAAAADADADCCDBABDDBCADCEDEBCBBCADE;1;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;80;80;80;80;40;360;B;E;D;4;A;A;B;A;A;A;D;A;A;D;D;A;A;D;D;D;B;C;5;5;0;5;3;5;5;C;A;A;B;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005703790;2013;11;F;1;1;2004;;1;0;3;;;;;;;;;;;;2516201;SOUSA;25;PB;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;B;C;C;3;A;A;A;A;A;A;D;A;A;D;A;A;A;D;D;D;A;B;5;5;3;5;3;5;3;B;A;A;B;A;A;A;A;B;A;18;A;4;0;5;5;5;A;A;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005703791;2013;1;M;1;3;;;;0;1;;;;;;;;;;;;2408003;MOSSORO;24;RN;1;1;1;1;173;169;177;181;546.4;611.1;542.4;668.8;BEAEEBAABCCBEBCBBECEBEBAECCACBAEEABBCABEEAABB;BAEAAAEDABBCEBADBAAAEEDBCEBEBACBBDDDCACCCCCDA;ABCCCADDCCCCEBBDAACEBAECAAADBBACEEBBCCAC*DDBC;BBBCACCDCACCDDBDCEBBCDBBBDDECDBDDECBBBDCDEBBC;0;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;120;100;120;160;140;640;G;G;Q;3;A;B;C;B;A;B;B;A;A;A;D;C;C;C;A;A;B;C;5;5;0;5;2;0;0;B;A;C;F;A;C;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005703792;2013;2;M;1;2;;1;1;0;2;3550308;SAO PAULO;35;SP;2;1;1;;;;;3550308;SAO PAULO;35;SP;1;1;1;1;171;167;175;179;427.1;431.8;479.1;442.8;BCECEAECEDCBEBBCBADDBCAAACDDBBBCCCAABCDCDEAAB;DCBBADBACCCADBADBACAACBCDBDBDEBBCCDAAACCBCCBA;BBBBCDCABDACBDBBCCECBCDEAAACABBEEDEDCDDCBEECB;DEDCCACBACECCDBDDBDCBDDDCBBBACBCABEBBBBCDCAAC;0;BBEDABEBDABAAABCBCBCACBECDEACECDBDBAADBAEBDBA;EAEBABBBBCCDEABEDBBCDDBDABCAEECCBCBACCCACACCA;CCABCEABCCACAAEACDDBDEBCBCCEECEDDABEDEEACCDABBEDBE;EDBCAAECAABBBDCECDDAEBACEBECBDADEDCDCBCBADCDE;7;120;80;80;120;80;480;C;C;E;4;A;B;B;A;A;A;D;A;A;D;A;C;A;D;D;D;A;A;5;5;5;5;1;5;2;B;A;A;B;A;A;A;A;A;B;16;E;5;4;5;5;3;A;B;B;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005703793;2013;1;F;1;3;;;;0;1;;;;;;;;;;;;5101407;ARIPUANA;51;MT;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;C;C;C;5;A;B;C;A;A;A;C;A;A;D;D;A;A;D;D;D;A;A;5;5;5;5;5;5;5;B;A;A;F;A;A;A;A;B;A;14;D;3;0;5;5;5;B;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005703794;2013;8;M;1;1;2010;;4;1;3;;;;;;;;;;;;2313609;UBAJARA;23;CE;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;C;C;B;5;D;B;A;D;D;D;D;D;A;D;D;A;D;D;D;D;A;A;4;1;5;5;0;0;3;C;B;A;A;B;A;A;B;B;A;18;D;0;0;5;4;0;A;B;B;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005703795;2013;11;M;1;1;2007;;1;0;3;;;;;;;;;;;;2933307;VITORIA DA CONQUISTA;29;BA;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;A;A;E;8;A;B;B;D;D;B;A;A;A;A;A;C;A;D;D;D;A;A;2;5;3;5;2;3;2;B;A;A;B;A;A;B;B;A;A;19;E;1;2;5;4;3;B;B;A;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
