NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_NACIONALIDADE;TP_ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075;Q076
130005702868;2013;6;M;1;3;;;;0;1;;;;;;;;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DO RIO GRANDE DO SUL;43;RS;4314902;PORTO ALEGRE;43;RS;1;1;1;1;174;170;177;181;474.9;429.3;520.2;530.2;ADAACCBBBEAABBDCDEECEABBEDEACEEAAECBEEDEDDABD;ADDCBBBCBDBDDEDADADCEDCCCCAEEABEEBAEBBECBCBDD;DCCCECAADCEEADBEAACECABCEDCCDECEDBCECEDEBCBBE;BEBCBCDECEEAEBCBEBBDDDCDDBCAEABBDBEECDCEBCDCE;0;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;80;80;60;80;20;320;E;E;D;2;C;B;A;D;A;D;D;A;B;D;D;A;D;D;D;D;A;A;3;4;4;3;3;5;5;B;A;A;F;C;A;A;A;A;A;18;E;5;4;5;5;5;B;B;B;B;A;B;B;A;A;A;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;C
130005702869;2013;12;M;1;1;2012;;2;0;3;;;;;;;;;;;;1501402;BELEM;15;PA;1;1;1;1;173;169;177;181;426.9;495;485.5;352.5;EDBBAABDACCADBAEAECDACCEECAECCDEBCBEBDDAABDBC;ACEBEBDEADCCEBAEBADAEAEAEEBAEACAAEBCCACED.CBC;DBCDBEAAACEEEECEAACEEBECBEDEABBAEABEABDBAABED;CDCEBDDADCDCAEEBEACEDACEECECBDABADCEAECDDECCD;0;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;40;40;40;40;20;180;C;E;B;3;A;B;A;D;D;A;D;A;A;D;A;B;A;D;D;D;A;B;5;5;3;5;3;5;5;F;A;A;E;E;B;A;A;A;A;15;A;5;5;5;3;5;A;A;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702870;2013;3;F;1;1;2012;;1;0;3;;;;;;;;;;;;2903201;BARREIRAS;29;BA;1;1;1;1;171;167;178;182;387.9;443.5;422.4;386.3;ACACBBEDBDAECBCBEDEDAADDBDABEABAAECDBADBEDABC;EADEDAEBBDECECCCEDDBDEAEDCDBDBEBBBDDACDADAACE;DCBEEEDACCBECADEECCABCDAABDBEABAECDDBEEAAEBBC;EABCBDAECDEBDACEACBADBCAEBDACEECDBBDACEDABCBC;0;BBEDABEBDABAAABCBCBCACBECDEACECDBDBAADBAEBDBA;EAEBABBBBCCDEABEDBBCDDBDABCAEECCBCBACCCACACCA;CCBCABEACCAEACCCEECEDDABDDBDEACEBCBCAADBEEDEBBECDA;CDDADCBEDCCAABDCEDCDEEEDBEBACCAABBEBECBACBDAD;7;120;120;120;120;80;560;B;D;B;7;A;A;A;A;A;A;D;A;A;D;D;C;A;D;D;D;D;C;5;5;0;5;5;5;3;B;A;A;B;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005702871;2013;12;F;1;1;2004;;1;1;1;;;;;;;;;;;;3538709;PIRACICABA;35;SP;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;B;C;F;6;A;B;B;B;B;A;A;A;A;D;A;C;A;D;D;D;A;B;0;5;0;5;3;5;5;B;A;A;C;B;A;A;A;A;A;20;E;0;5;5;5;5;A;B;A;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702872;2013;11;F;1;1;2008;;1;0;1;;;;;;;;;;;;2402006;CAICO;24;RN;1;1;1;1;173;169;176;180;460.4;490.9;519.3;526.8;CBACDBBCCCCDEBEAADCCEBEEEDEAABDECADCCCAEAAAAB;ABEDEABDABBCABCDBBCDAEECCEBBEBCDADBDCCBBCEBDC;CDBBBCEACCBECABCBBDCDCAAADECAADCADECECCCAECCE;CBABADCBBBADDBEAEEEEBADBBBBDEDBDDDCADDCBCEEDE;1;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCEACBAEACEBCBDDABDDBDCAAEDECDABBECCEEACDBEECE;CAACDDAEEBACEDBCAABBEBEDCBBDCECBDADCBADCDEEDC;7;140;120;100;140;60;560;C;B;C;5;A;B;A;A;A;D;A;A;A;A;A;A;A;D;A;D;A;A;5;4;5;5;4;5;5;B;A;A;C;B;A;A;A;A;A;18;D;5;5;4;5;5;A;A;B;B;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702873;2013;11;F;1;1;2004;;1;1;1;;;;;;;;;;;;3164704;SAO SEBASTIAO DO PARAISO;31;MG;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;D;E;D;3;A;B;B;A;A;A;A;A;A;D;A;B;D;D;A;D;B;A;3;5;5;5;2;5;2;B;A;A;B;A;A;A;A;B;B;16;A;2;5;5;5;5;A;B;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702874;2013;2;F;1;3;;;;0;1;;;;;;;;;;;;2309300;NOVA RUSSAS;23;CE;1;1;1;1;172;168;177;181;437;516.2;378.4;486.9;EABDBEBBCBEEDCDBACBACACCEBACBABCADBCBADCBCADA;BAEABDDEACACEBDEAEBBDBEAEBEAEDACEDBABDDDDABCD;CEBBEBBADEAACCCEEAEEBAAEBDDDECECCBBABBBCADCCA;BBEEEEACCAACAEAECAABAAAACDAADBAABDBACAACAEBBC;1;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;80;40;40;60;40;260;B;B;B;3;A;B;A;D;D;D;D;D;D;D;D;D;D;D;D;D;A;C;5;5;5;5;5;5;5;B;A;A;F;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005702875;2013;15;M;1;4;;;;1;2;;;;;;;;1;INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS BAGÉ;43;RS;4302808;CACAPAVA DO SUL;43;RS;1;1;0;0;172;168;175;179;414.9;548.4;;;DACBDABDDECDDBBBDCBCECAADCCACADBDDBCEABDBAEDA;DCABCCBBAABCAAADEACBCEADDDEDBDADEABAEEABCCDDC;.............................................;.............................................;1;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;;;6;0;0;0;0;0;0;A;B;D;3;C;B;A;A;A;D;A;D;A;D;D;A;D;D;D;D;A;A;0;0;0;5;0;0;0;G;E;A;G;A;A;A;B;B;B;14;D;3;0;0;0;0;A;A;A;A;A;A;A;B;;;;;;;;;;A;B;B;B;B;A;B;B;B;B;B;B;B
130005702876;2013;3;M;1;1;2011;;1;0;2;;;;;;;;;;;;2516201;SOUSA;25;PB;1;1;1;1;171;167;175;179;372.2;530.9;411.1;525.2;ACCECCDDEBEBCAEDEDEDBABBCAABCECCDADEADCACABAD;CCEADCBCDCCDEBAEDBAACDCBAACEDEBABAAEDDBACEACA;DACEAEBAC.ECDCADACACAEBDDDDACBCABEABECECEEACB;BACCBCBBACDEADCBADCEAECCEECBDADAEACBECDACCAEC;1;BBEDABEBDABAAABCBCBCACBECDEACECDBDBAADBAEBDBA;EAEBABBBBCCDEABEDBBCDDBDABCAEECCBCBACCCACACCA;CCABCEABCCACAAEACDDBDEBCBCCEECEDDABEDEEACCDABBEDBE;EDBCAAECAABBBDCECDDAEBACEBECBDADEDCDCBCBADCDE;7;40;80;80;60;40;300;B;C;B;6;A;B;A;A;A;D;D;A;A;D;D;A;D;D;D;D;A;B;4;5;0;5;2;3;0;B;A;A;B;A;A;A;A;B;B;17;E;5;1;5;5;5;B;A;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702877;2013;9;F;1;1;2005;;1;2;1;;;;;;;;;;;;4209102;JOINVILLE;42;SC;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;G;E;H;1;B;B;B;D;A;A;D;A;A;D;D;A;A;D;D;D;B;A;5;1;1;5;5;5;5;A;A;A;B;A;B;A;A;A;A;15;D;0;0;5;5;5;A;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
130005702878;2013;1;F;1;2;;1;1;0;1;5215801;PALMELO;52;GO;2;1;1;;;;;5217401;PIRES DO RIO;52;GO;1;1;1;1;173;169;177;181;508.2;453.5;566.6;610.5;CEBCCBDCBCCEDCCEAECDBECEECEADADACAECABBAEDBBC;BDACEADEDDCCECDDCACDCEEBBDBEECEDBBBBBABBCABAE;CCEECCDDBCCCEDEEAACACBCDAEECBBEBECCECDEEACBCE;BDCCEDCCCABCADDCBECCDCBABDCCCABBBBBABEBDDCCBC;1;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;120;60;80;120;80;460;G;G;G;4;A;B;A;A;A;A;A;A;A;A;C;C;A;D;D;D;B;C;5;0;0;5;0;0;0;B;A;A;B;A;A;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005702879;2013;5;M;1;2;;1;1;0;2;2916401;ITAPETINGA;29;BA;2;1;1;0;;;;2916401;ITAPETINGA;29;BA;1;1;1;1;173;169;178;182;381.4;488.5;404.6;434.4;ECADADBAEDABAAACCCAEDEABAECDCAEDDEDADAEBAEBED;ACEBBAEECAECADBBDBDEBABBEDBECBADACDCCACBCAECD;BBAADCBDEACADCADDBBECEEEAEABADEABAADCDCDAABD.;ACBCAABCBBDEDBDBCBCDDEABBADBDEAEBACDACBEAACDC;0;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;CCBCABEACCAEACCCEECEDDABDDBDEACEBCBCAADBEEDEBBECDA;CDDADCBEDCCAABDCEDCDEEEDBEBACCAABBEBECBACBDAD;7;120;120;80;80;80;480;C;E;B;3;C;B;A;A;A;A;D;D;A;D;D;B;A;D;D;D;A;C;5;0;0;5;5;5;5;A;A;A;F;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005702880;2013;4;F;1;1;2011;;1;0;3;;;;;;;;;;;;3524402;JACAREI;35;SP;1;1;1;1;174;170;176;180;346.5;478.7;423.6;449.7;ACEDAEBCCEBEADBEBACCDACAEBBEDBCDCADADBDACAADD;BBADDEAEAEDDABBCECCDBEDBCBBEADDBCBBDDBEEBABED;DBCACCDBACBADACEECABDEAAEDCADDADEBEDEBBADDEBE;CBCCCEAEDDBEBECDBADCEBCDDCCAADDAADBECEEABBCBC;0;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCEACBAEACEBCBDDABDDBDCAAEDECDABBECCEEACDBEECE;CAACDDAEEBACEDBCAABBEBEDCBBDCECBDADCBADCDEEDC;7;120;80;120;120;40;480;C;D;B;5;D;A;A;D;D;A;A;A;A;D;D;B;A;D;D;D;A;B;5;5;0;5;3;5;5;B;A;A;B;A;A;A;A;A;A;18;D;5;3;5;5;5;A;A;A;B;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
130005702881;2013;12;F;1;2;;1;4;1;3;3200201;ALEGRE;32;ES;2;1;1;0;;;;3200201;ALEGRE;32;ES;1;1;1;1;173;169;178;182;467.3;405.9;435.3;475.5;BDCCCBBCBCABACCBACCBAAAEABCAABBEEA.BEABCAAAAA;BCEBEABEADBAEDBDCBBBACCAEBDAEAAAEC.BBCCCCAADC;CBCDCBDABDAEEBEEDBBDCCAAEBBCCCCBBAEEEEDAB.ACA;ABCBCBDCABCCCBAACACACECDDCADCDBCABCACABDCDEAE;1;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;CCBCABEACCAEACCCEECEDDABDDBDEACEBCBCAADBEEDEBBECDA;CDDADCBEDCCAABDCEDCDEEEDBEBACCAABBEBECBACBDAD;7;120;80;80;80;40;400;I;C;E;3;B;A;A;A;A;D;D;D;A;D;D;B;D;D;D;D;A;B;5;5;0;5;5;5;5;C;E;A;B;A;A;A;A;B;A;18;C;4;4;4;4;4;A;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005702882;2013;11;M;1;2;;1;1;0;3;1503606;ITAITUBA;15;PA;2;2;1;0;;;;1503606;ITAITUBA;15;PA;1;1;1;1;172;168;177;181;456.5;490.6;471.7;359.4;CAABBDEACBDCBBCEAACDEECDABDCCEADBECAEDBCBABED;BEDDEEBDAABBAACDBABADBABDABBABACBBDACEDBCEBDA;CCACBECAECEDEDEEEADABBEDAACEDBBDBBDCABEDABCAB;ACEBDCBDEBCDECBCDBACEDBCABDECABCBADECDECBABCE;1;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;100;100;80;100;80;460;A;A;E;4;A;B;A;D;D;A;A;A;A;D;A;B;A;D;D;D;A;A;4;4;4;5;5;5;5;B;A;A;B;A;A;A;A;A;A;18;E;4;0;5;5;4;B;B;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702883;2013;12;F;1;1;2009;;1;0;3;;;;;;;;;;;;3518701;GUARUJA;35;SP;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;B;B;C;1;C;B;A;D;D;D;D;A;A;D;D;A;D;D;D;D;A;A;1;3;3;3;2;5;5;B;A;A;A;A;A;A;A;A;A;18;B;1;1;3;3;3;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005702884;2013;4;M;1;4;;;;0;0;;;;;;;;1;INSTITUTO FEDERAL DO RIO GRANDE DO SUL - CAMPUS ERECHIM;43;RS;4307005;ERECHIM;43;RS;1;1;1;1;173;169;178;182;438.8;538.6;287.1;327.5;EEDAEDDCCBCCDDCAADCDBBCECADABECDEAEBDEDABDBBE;BAECBEAECBBCADBDBADBCCEAEEAABABAACBDCACBCCBDA;.............................................;.............................................;1;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;CCBCABEACCAEACCCEECEDDABDDBDEACEBCBCAADBEEDEBBECDA;CDDADCBEDCCAABDCEDCDEEEDBEBACCAABBEBECBACBDAD;7;120;40;80;80;0;320;C;B;B;5;C;B;A;D;A;D;D;A;A;D;D;A;D;D;D;D;A;C;5;5;5;5;5;5;5;G;C;A;G;D;A;A;A;A;A;;;;;;;;;;;;;;;B;;;;;;;;;;A;B;B;B;B;B;A;A;A;B;B;B;C
130005702885;2013;2;M;2;3;;;;0;1;;;;;;;;;;;;4303103;CACHOEIRINHA;43;RS;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;D;C;G;5;C;B;C;D;A;A;A;A;A;A;A;A;A;A;D;D;A;A;5;5;5;5;5;3;3;B;A;A;F;B;A;A;A;A;A;16;D;4;0;5;5;2;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005702886;2013;5;M;1;1;2012;;1;0;3;;;;;;;;;;;;2933307;VITORIA DA CONQUISTA;29;BA;1;1;1;1;174;170;177;181;512.7;532.1;531;510.4;ACAAEDECDEADBCABCCCACBCEECAAECDABDCADCBBABDDA;CBAAABADCEBDDBBCDAAADBAACABAAEEBBBADACDAAABDC;CDDEBABDCACCCDEEAAAEBAAAAADEABABAACADEAEEBBBA;CEABEAABCBACAABBBAACCDCDBDCCEABACDBECBADBCABE;1;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;120;120;120;120;100;580;C;E;B;4;A;B;A;A;D;D;D;A;A;D;D;A;D;D;D;D;A;A;5;5;5;5;5;5;5;B;A;A;C;A;A;A;A;A;A;18;B;5;5;2;3;5;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005702887;2013;6;F;1;2;;1;2;0;3;2408102;NATAL;24;RN;2;1;1;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DO RIO GRANDE DO NORTE;24;RN;2408102;NATAL;24;RN;1;1;1;1;173;169;175;179;457.2;376.7;351.3;519.9;AAEEEADDADCCDCECAECBCBCBABDACAACEAEDCDCADAACC;BBDDBEEAADEDECBDCCBBDDBAABDBACCEEBBCCBCCADEAD;BADBBDECDDBABCDECEBDABBACEDEEACBDBCBBCAECECAE;CEDCACDBBADDEABACEDCDDEBECBDBBDCBACDCDBDBBBDC;0;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;CCABCEABCCACAAEACDDBDEBCBCCEECEDDABEDEEACCDABBEDBE;EDBCAAECAABBBDCECDDAEBACEBECBDADEDCDCBCBADCDE;7;80;100;80;60;80;400;A;A;D;2;C;B;A;A;D;D;D;D;A;D;D;B;D;D;D;D;A;A;4;3;3;5;0;5;1;D;C;A;F;A;A;A;B;B;A;15;E;4;1;5;4;4;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;A;B;B;B;A;B;A;B;B;B;B;B;C
130005702888;2013;2;M;1;2;;1;1;0;1;3506508;BIRIGUI;35;SP;2;1;1;;;;;3506508;BIRIGUI;35;SP;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;I;E;F;4;A;A;B;D;A;B;B;A;A;A;A;A;A;D;A;D;A;A;5;5;0;5;5;5;5;B;A;A;F;A;A;A;A;B;A;15;C;5;5;5;5;5;A;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005702889;2013;2;M;1;3;;;;0;1;;;;;;;;;;;;3550308;SAO PAULO;35;SP;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;E;F;G;4;A;B;A;A;A;A;A;C;A;A;A;C;A;A;A;D;B;C;5;5;0;5;3;5;1;G;A;A;F;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005702890;2013;14;M;1;1;2004;;1;1;3;;;;;;;;;;;;1501402;BELEM;15;PA;1;1;1;1;173;169;177;181;402.7;423.2;462.7;430.9;EDCDEEDBDECCABABACCDDCBDBCDDCCDDCACBDBACCEACC;BDEAECEACADDECADBACBDBECBCDBAACDADCCECCBCABAB;BCADCDBDDBCCEDEBECCCEAACBBCDDBCBDCCCCABCAEAAA;DCBCCCCCBDCCCCCBBBBCCDDDCDDEBCCDDDDDCCBBBBBCC;1;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;80;120;120;120;120;560;C;C;C;3;A;B;A;A;D;D;D;A;A;D;D;A;D;D;D;D;D;A;2;0;0;5;4;5;5;B;A;A;B;A;A;A;A;B;A;18;D;0;5;5;5;0;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
130005702891;2013;3;M;1;2;;1;1;0;1;3301702;DUQUE DE CAXIAS;33;RJ;2;1;1;1;INSTITUTO FEDERAL DO RIO DE JANEIRO - CAMPUS DUQUE DE CAXIAS;33;RJ;3301702;DUQUE DE CAXIAS;33;RJ;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;D;D;B;6;A;A;A;A;A;D;D;D;A;D;A;A;A;D;D;D;A;C;0;1;1;0;0;1;0;F;A;A;F;A;A;A;A;A;B;;;;;;;;;;;;;;;B;;;;;;;;;;A;B;B;B;B;B;B;B;B;B;B;B;G
130005702892;2013;4;F;1;3;;;;0;1;;;;;;;;1;INSTITUTO FEDERAL GOIANO - CAMPUS RIO VERDE;52;GO;5218805;RIO VERDE;52;GO;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;I;B;B;3;C;B;A;A;A;D;D;D;A;A;D;A;D;D;D;D;A;B;0;5;0;5;0;5;5;A;A;A;F;E;A;A;B;B;A;16;D;0;5;5;5;0;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;B
130005702893;2013;12;M;1;1;2004;;1;0;3;;;;;;;;;;;;1302603;MANAUS;13;AM;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;B;B;E;4;A;B;A;A;A;D;D;A;A;D;D;A;A;D;D;D;A;A;5;5;5;5;5;5;5;B;A;A;B;A;A;A;A;A;A;21;E;5;5;5;5;5;A;A;B;B;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702894;2013;4;F;1;2;;1;1;0;1;4111308;ITAUNA DO SUL;41;PR;2;1;1;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DO PARANÁ;41;PR;4113502;LOANDA;41;PR;1;1;1;1;172;168;176;180;360.8;475.5;379.4;502.7;AAECDCAAEDECCACEEEBDCAADBACBABBCCEEDDCCCEEEEC;BACBBBBDAAAAACCDBCCCCDEABABBDCDDBCCDCDAABDBDD;DCBCDCBAABBCDDCCAEEBEDDCAADCEACDBBEADDEDDBAEE;CBCCAEACBAAECBBADDDBBBABCDDDCCABADDDBBBABDDEC;0;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;ABCCCCEACBAEACEBCBDDABDDBDCAAEDECDABBECCEEACDBEECE;CAACDDAEEBACEDBCAABBEBEDCBBDCECBDADCBADCDEEDC;7;100;80;80;100;20;380;D;D;B;5;D;B;A;A;A;D;D;D;A;D;D;A;D;D;D;D;A;C;5;5;0;5;5;5;5;C;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;B;;;;;;;;;;A;B;B;B;B;B;B;B;B;B;B;B;G
130005702895;2013;11;F;1;1;2004;;1;0;1;;;;;;;;;;;;3550308;SAO PAULO;35;SP;1;1;1;1;174;170;175;179;481;445.1;434.3;376.8;ACEAEADECEBCAAABDADDDBEECCCABBEDAECCAEBBBECAC;BBCEDBDDBABDBDCCACACDEAABAEAAEEBCECCABECAABAC;ACDBACDACEAEBBCDCBBECEEECEDEEBEDAECEEEEEACCAD;DABEBCCCEDBBCDEDEAAACDAEAACBBCDEDAECDEBBEEBEC;1;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;CCABCEABCCACAAEACDDBDEBCBCCEECEDDABEDEEACCDABBEDBE;EDBCAAECAABBBDCECDDAEBACEBECBDADEDCDCBCBADCDE;7;140;120;100;100;100;560;C;C;E;5;A;B;A;A;A;A;B;A;A;A;A;A;A;D;A;D;B;A;3;1;4;5;5;5;5;B;A;A;B;A;A;A;A;A;A;18;D;5;5;5;5;5;A;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
