NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062
400000000001;2012;13;0;1;3;1;2003;;1;;;;;;;;0;;;;2933307;VITORIA DA CONQUISTA;29;BA;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;I;B;D;3;A;B;A;A;D;A;D;D;A;D;D;B;A;A;A;D;A;B;4;5;0;5;5;5;5;E;D;A;D;C;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000002;2012;3;0;0;1;1;2011;;1;;;;;;;;0;;;;2611606;RECIFE;26;PE;1;1;1;1;141;137;146;150;537.7;552.2;532.6;468.3;AECBEDDBBCEBBDABEAAEEDCCEECBEBCDAECCBCDDECBEA;DABBAADDBEBEDAEDDBBBBBDBDEDDEEABBCBADECECACAE;ADEEBAAABEBDDBEAEEDCCDBCAACADDBAABBDEDACDADAE;EABACCCDCADAEDDBDACBDABDCBCECDBACBDADABBECEBE;1;BAEBEEDABDDDABCCBAEEACDCDECEACBDACCBEBACEEBEB;EADBAABDCEBDDCEEEECEBCDADCEDAECABEEEAEEECACDA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;80;60;60;80;0;280;E;C;G;4;A;B;A;A;A;B;A;A;A;D;A;B;A;A;D;D;A;C;5;1;0;5;2;5;0;A;A;D;B;A;A;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000003;2012;5;1;0;3;1;2011;;1;;;;;;;;0;;;;3301702;DUQUE DE CAXIAS;33;RJ;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;C;C;C;4;B;B;B;A;D;D;D;A;A;D;D;B;D;A;D;D;A;A;3;5;1;0;0;5;3;A;A;A;A;B;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000004;2012;11;0;0;3;1;2010;;2;;;;;;;;0;;;;5300108;BRASILIA;53;DF;1;1;1;1;143;139;147;151;459;557.7;545;565.3;EBDCEBDEABEBBDBDCCEECADEDEBDEBDEEAEEBCACEEDEC;AADEEAEDEBAEEBABABCDCCDDAAAAABCABEECBECAEBECA;ADBDCAACABDBEAAEBEEBABADDCBADEDDBCCEDBDBDADAC;AEDBEECBADECEABECCEBDDCCDCADACABAEBDCBBEBC*DE;1;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADABCAADAAABAAAEBEDEABEDDCEBEEACBCDDBADEDAEAD;DEBDDEDAADEDEABEAEEEECCCBCABACBDBEDBDBDDECDBC;P;140;160;140;160;120;720;C;C;F;4;A;B;B;A;D;D;A;D;A;D;A;C;A;A;D;D;B;A;5;5;0;5;5;5;5;A;A;A;E;E;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000005;2012;5;0;0;1;1;2010;;1;;;;;;;;0;;;;3304557;RIO DE JANEIRO;33;RJ;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;B;C;C;4;A;B;A;A;A;A;D;A;A;D;A;A;A;D;A;D;A;C;0;3;0;5;5;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000006;2012;6;1;0;2;1;2010;;1;;;;;;;;0;;;;2925204;POJUCA;29;BA;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;C;C;C;6;A;B;A;A;A;A;D;D;A;D;D;C;A;D;D;D;A;B;5;4;2;2;0;5;0;C;A;A;B;A;B;B;A;A;B;;;;;;;;;;;;;;;;;;;;;;;
400000000007;2012;5;0;0;1;1;2009;;1;;;;;;;;0;;;;2507507;JOAO PESSOA;25;PB;1;1;1;1;143;139;146;150;507.3;565.1;500.6;659.7;EBDDAABBCEEABDCBCBCBAEDECEDEBDDAEEDCECDDAEEAC;DADEEBEDEEBBCCCBDBCDBCADDACAABEACEDEECEAEEECA;ADEABABDAEBDBBECDEEDAACBDEABDCBBADECDBEEAACBD;EABEECCBDAEECCCCDBECDBADCBDCEBBADEDCBDBDDCABA;0;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;120;60;100;80;20;380;E;G;D;5;A;B;B;A;A;A;A;A;A;A;A;B;B;A;A;D;B;B;3;5;2;5;3;4;0;B;A;C;B;A;C;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000008;2012;11;0;0;1;1;2004;;1;;;;;;;;0;;;;3302205;ITAPERUNA;33;RJ;1;1;0;0;144;140;;;522.8;633.6;;;CDAEEABCAEDAEBDCBDEABEBDDDACBCEACBDBEACBDCEAD;CBBCDCDAEECAADBDEBABECAEDEAEEDECACBCBAADAEDCD;;;;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;;;F;;;;;;;E;E;B;2;C;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;5;5;5;5;5;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000009;2012;9;1;0;3;1;2006;;1;;;;;;;;0;;;;5201108;ANAPOLIS;52;GO;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;E;E;D;4;A;B;D;D;A;B;A;A;A;A;A;C;A;D;A;D;B;A;5;5;5;4;4;5;3;C;A;A;B;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000010;2012;3;1;0;1;1;2010;;1;;;;;;;;0;;;;3118304;CONSELHEIRO LAFAIETE;31;MG;1;1;1;1;144;140;148;152;590.3;611.3;552.4;620.7;AAACECDDEBACEEDACBDBEABDDBAEBDEACEADDCCBEBACC;CEBEDCDDAEEAAABDCBBADAEEDEEDABECACCAEDABAEDED;EDDAEACEAACAEBBBAEBEADDCDDEEDEACEDCAEDAEAEDDD;CBBECABAEABEDAECEAABBADCDCBBDEBBABDAAEADDBBED;0;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;BDBADAADCBAABAADAEBAAAEBEEDDCABEEDECDDBAACBAEADDED;CCCBCABAEABEAEEEEDEDAADEDCBDDEBDECDBCBEDBDBDD;P;120;100;80;120;80;500;C;E;D;3;A;B;B;D;D;A;A;A;A;D;A;B;A;D;A;D;B;C;5;5;0;5;5;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000011;2012;3;0;0;3;1;2011;;1;;;;;;;;0;;;;2304400;FORTALEZA;23;CE;1;1;1;1;142;138;146;150;412.1;528.2;407;447.1;CCECCCBACDACEABEEDBEAECACDABACBBDCDBEBDBDDCEE;CEBDEACEAABDABCDBBEDCCCEBACAADABDCBDCAAEEBCAA;DBBCBEBCBBBDDAAADEDECDABBBEDEDECABEBDECBDBEAE;EEBECCEDBCAEAEDBCCEBBDBAECCCEDCBDCABDCACCCDCA;0;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;120;60;60;40;0;280;C;B;B;7;D;B;A;A;D;A;D;D;A;D;A;A;A;D;D;D;A;B;5;5;0;5;0;5;5;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000012;2012;14;0;1;1;1;2007;;2;;;;;;;;0;;;;3303500;NOVA IGUACU;33;RJ;1;1;1;1;141;137;147;151;468.8;490;506.4;521.8;EBCCEEDCDCEEACACEBCABBADAEDCADEDDBCEBCADEDABD;DAEBDEBACEDAEADDEACBECBBAEDEABCEAEBBAEAECAABD;CCCDAAABABDBBBBEBEDCDDDDDA*BEBBDACCDCDCCCADAD;ADCBEAACCCCDEABAEAEEEDCCADCBCCDBEAADAEDDEABAD;0;BAEBEEDABDDDABCCBAEEACDCDECEACBDACCBEBACEEBEB;EADBAABDCEBDDCEEEECEBCDADCEDAECABEEEAEEECACDA;ADDBBADABCAADAAABAAAEBEDEABEDDCEBEEACBCDDBADEDAEAD;DEBDDEDAADEDEABEAEEEECCCBCABACBDBEDBDBDDECDBC;P;120;120;120;100;80;540;B;C;I;4;D;B;B;B;B;A;A;A;A;A;A;B;A;D;A;D;A;A;4;5;5;5;5;5;5;B;A;A;A;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000013;2012;7;0;0;3;1;2007;;1;;;;;;;;0;;;;2111300;SAO LUIS;21;MA;1;1;1;1;144;140;146;150;530.4;537.7;517.2;623.1;ECAAECEAEEDEEEDABADEEBABDBBAACAACEAEBCECCADDC;CECAEADDCEBAAEBDDABEDAECDDEBECECABEDEEADACBCB;EDDACAADEEBDDCECDECDCACBECACBBBABCCDECADDBDBC;EABEEECDBADDCDEBBDEAADABDECEEDCACDEDCABDDCDBA;1;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;180;180;160;160;40;720;E;E;C;7;A;B;C;B;D;D;D;A;A;D;A;C;A;D;D;D;C;C;5;5;5;5;1;5;5;B;A;B;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000014;2012;7;1;0;2;1;2008;;1;;;;;;;;0;;;;3304557;RIO DE JANEIRO;33;RJ;1;1;1;1;141;137;145;149;398.8;527.5;470.7;366;BADCEDDBBCAECEADEACDBDBEDCEBDEEACCDADDEABAACD;DAECAABDDECEECAEDECBCADCCDECDEAAAAEDBCEECEAEE;DEAADBBBEEEDEEACDCBADAADEBCAAEBCACADDBBCDABCA;CBDCADBBECBCACDEBBEBDCCDBCADCDAACBECBBDBECDDD;1;BAEBEEDABDDDABCCBAEEACDCDECEACBDACCBEBACEEBEB;EADBAABDCEBDDCEEEECEBCDADCEDAECABEEEAEEECACDA;DBBADDAABCAAAEBEBEEAEADAABDDCEDECDABEACBDBADEDAADA;ADEDEABEEECCCBDEDACBDCABADEBDAEEDBDDECDBCBEDB;P;160;180;180;180;120;820;I;E;B;2;C;B;A;D;A;A;D;D;A;D;A;A;A;D;D;D;A;B;0;5;0;5;5;5;5;C;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000015;2012;3;1;0;1;3;;;;;;;;;;;0;;;;3549805;SAO JOSE DO RIO PRETO;35;SP;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;C;G;F;2;A;B;B;A;A;B;A;A;A;A;A;B;A;A;D;D;B;A;5;3;1;5;1;4;4;C;A;C;F;A;C;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000016;2012;6;0;0;1;1;2011;;1;;;;;;;;0;;;;3111200;CAMPO BELO;31;MG;1;1;1;1;143;139;145;149;639.8;659.6;580.8;687.4;EEDABADBDEAEEBCDCBCECDCADECDDAEBBCBBCCBEBBDAC;AABDEEEEEBDEBCBBEBDDDCBDAECACBDCDEBCEADBEBECA;DABEDBACEBECEEAEACAECADCEBECDDBAAEDCCADBCAADA;BDECEABEEEECBBDADACBDCADACCCDEBEDBDDEBBBADEAC;0;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;DBBADDAABCAAAEBEBEEAEADAABDDCEDECDABEACBDBADEDAADA;ADEDEABEEECCCBDEDACBDCABADEBDAEEDBDDECDBCBEDB;P;120;80;100;100;20;420;C;E;D;4;A;B;B;A;A;A;B;A;A;D;A;C;A;D;D;D;B;B;2;0;0;5;3;5;5;B;A;A;C;B;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000017;2012;6;0;0;3;1;2009;;1;;;;;;;;0;;;;2111300;SAO LUIS;21;MA;1;1;1;1;143;139;148;152;499.6;526;510.1;478.7;EEAEEEBCCDBEBEDCBECBADAAAEDECEDABCBCCDDAABDDD;ADBCEEDEDAAADDABDAEBECBBABBBDEAACDDCBCDAEDACA;DDDCCBABECEAEBEDDEBAADDEBBBEDCCCDEEEDAACADBBC;DDDCCCBBEABBCAAEECCEADDBCCAAEBDDCADEDEDCDEECC;1;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;BDBADAADCBAABAADAEBAAAEBEEDDCABEEDECDDBAACBAEADDED;CCCBCABAEABEAEEEEDEDAADEDCBDDEBDECDBCBEDBDBDD;P;180;140;140;160;60;680;G;G;D;6;A;B;A;A;A;A;D;A;A;D;A;A;A;A;D;D;A;C;5;5;3;5;5;5;3;B;A;A;B;A;A;A;A;A;B;;;;;;;;;;;;;;;;;;;;;;;
400000000018;2012;7;0;0;1;1;2006;;1;;;;;;;;0;;;;2918001;JEQUIE;29;BA;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;E;G;E;4;C;B;B;B;A;B;D;A;A;D;A;C;A;D;D;D;B;A;3;3;3;5;4;5;4;B;A;B;B;A;A;A;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000019;2012;11;1;1;3;1;2003;;1;;;;;;;;0;;;;5208707;GOIANIA;52;GO;1;1;0;0;141;137;;;469.3;576.6;;;EAABEEDBDCBBBBBCDEAABDBCCCDDEEEDDDCDCCCCBCABD;EAEDAABDAEBEDDEEDECBBABADEDDACABAEEEEDDDDDCAB;;;;BAEBEEDABDDDABCCBAEEACDCDECEACBDACCBEBACEEBEB;EADBAABDCEBDDCEEEECEBCDADCEDAECABEEEAEEECACDA;;;F;;;;;;;D;D;B;2;B;B;A;D;D;D;D;D;A;D;D;A;D;D;D;D;A;B;2;5;0;5;2;5;5;B;A;A;C;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000020;2012;5;0;0;3;1;2009;;1;;;;;;;;0;;;;2105302;IMPERATRIZ;21;MA;1;1;1;1;143;139;146;150;509.6;482.1;489.6;292;EEDEEEBBBADECCDCDACCEDEECECCCADBCBEBBDCCBDCCC;DACEEDEECEBABCABCABCBCDEDBABACEAABBEBCDCDAEEA;CCDCBCADDEBDDCCBDEECCCBDCBADDBBBCBCACDACEAACC;ABCDBCBDCBACDABBC*DBCACDABCBDEEDCBCBEDBCCBBCB;1;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;140;100;80;100;20;440;D;C;D;3;A;B;A;A;D;A;D;D;A;A;A;B;A;D;D;D;A;A;0;5;0;5;5;5;0;A;A;A;A;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000021;2012;9;1;0;3;1;2005;;1;;;;;;;;0;;;;2304400;FORTALEZA;23;CE;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;B;E;C;3;B;B;B;D;A;A;D;A;A;D;D;B;A;A;D;D;C;A;4;2;1;5;5;5;4;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000022;2012;11;0;1;1;1;2003;;1;;;;;;;;0;;;;3550308;SAO PAULO;35;SP;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;E;C;F;6;D;B;A;A;A;D;D;D;A;D;D;C;D;D;D;D;A;A;3;5;5;5;5;5;3;B;A;A;C;B;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000023;2012;10;1;0;1;1;2004;;1;;;;;;;;0;;;;3548906;SAO CARLOS;35;SP;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;B;E;E;3;C;B;C;A;A;A;D;A;A;A;D;A;A;D;D;D;A;A;0;0;0;0;0;5;0;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000024;2012;8;1;0;1;1;2007;;1;;;;;;;;0;;;;3548906;SAO CARLOS;35;SP;1;1;1;1;144;140;147;151;471.6;645.3;606.7;580.4;AAACEADCADDAAEDCBADCEBCECEEBEEECEBDEEACCDADCB;CABEDCDAEECAAABDEBEBDADEEEEBEBECACDCDDBBCECCE;BDBABAADAAACABEEBEACABCDDCEBEEECACDDEADACAEAC;CECBBCCCAEECEABEBBEEECDBECCBACDDACCDBBCCBBAEA;0;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;ADDBBADABCAADAAABAAAEBEDEABEDDCEBEEACBCDDBADEDAEAD;DEBDDEDAADEDEABEAEEEECCCBCABACBDBEDBDBDDECDBC;P;140;120;120;140;120;640;B;B;E;3;A;B;B;A;B;A;B;A;A;D;D;C;A;D;A;D;B;A;4;0;0;5;5;5;5;B;A;A;B;A;A;A;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000025;2012;4;0;0;1;1;2010;;1;;;;;;;;0;;;;4119905;PONTA GROSSA;41;PR;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;E;B;C;3;A;B;A;A;A;A;D;A;A;A;A;A;A;D;D;D;A;B;5;5;0;5;5;5;5;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000026;2012;9;1;0;1;1;2005;;1;;;;;;;;0;;;;3550308;SAO PAULO;35;SP;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;D;D;D;2;C;B;A;A;A;A;A;A;A;D;A;A;A;A;D;D;A;A;5;5;5;5;5;5;5;B;A;A;B;A;A;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000027;2012;7;1;1;2;1;2008;;1;;;;;;;;0;;;;3106705;BETIM;31;MG;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;B;B;C;3;A;B;A;A;A;A;D;D;A;D;D;A;A;D;D;D;A;A;4;4;4;5;5;5;4;B;A;A;B;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000028;2012;8;0;0;3;1;2007;;1;;;;;;;;0;;;;2504009;CAMPINA GRANDE;25;PB;1;1;1;1;143;139;146;150;504.8;547.3;493.8;549.5;EEDAEBCDCECCAEBCCAEECADDAECBEADDBEBCACDEBDBCD;AABDEADEEABABDBEDBBDABBDECEABEADABEEADADEACCA;DDBABAADAEBDCEEAEAACCAEDABEABDBABACDCABEEADEC;EABBEEABBCBEAEDCDCEDBBDCAABCDBEADACAADABDBACA;1;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;160;160;120;140;140;720;B;C;D;3;A;B;A;A;D;D;D;D;A;D;D;A;D;D;D;D;A;A;5;5;5;5;5;5;5;A;A;A;C;B;A;A;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000029;2012;12;1;0;1;1;2003;;1;;;;;;;;0;;;;4218707;TUBARAO;42;SC;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;E;D;D;2;C;B;A;D;D;A;D;A;A;D;D;A;A;D;D;D;A;A;4;5;3;5;5;5;5;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000030;2012;5;0;0;1;1;2009;;1;;;;;;;;0;;;;2105302;IMPERATRIZ;21;MA;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;G;G;G;5;A;B;B;D;D;A;A;D;A;D;D;C;A;D;D;D;B;A;4;2;0;4;1;5;1;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000031;2012;2;0;0;3;2;;1;1;2106607;MATOES;21;MA;2;1;1;0;;;;2107803;PARNARAMA;21;MA;1;1;1;1;144;140;146;150;371.1;372.3;321.6;318.9;CBEADCEEACCBEABCDCABADECDCADEAAADCDDCBECAECDC;DBACBADBCABABADDBABCDEAABDEEDBBBCBEADABADACEA;CAEDBCBBADCCAEDBBAAEBBCBDBADBBABCDEABEABCCBEB;CCEBABDCBACCCBBEACBBCADDCCCDEBDABABCABDBBCDEC;0;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;120;80;80;100;20;400;B;B;C;4;A;B;A;A;A;D;A;A;A;D;D;A;A;D;D;D;B;C;1;1;1;1;1;1;1;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000032;2012;7;1;0;1;1;2009;;1;;;;;;;;0;;;;4314902;PORTO ALEGRE;43;RS;1;1;0;0;142;138;;;340;462.8;;;DEDDCDBADCEDABEACEEDBD.CDCDABBCBDDAEEDEEBACAC;BEDCCCEAAABEABEBEACDDACEBEEBDEEABDDABDECAADBE;;;;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;;;F;;;;;;;F;E;J;4;B;B;C;A;A;A;B;A;A;D;A;C;A;A;A;D;B;A;5;5;0;5;5;5;5;B;A;A;C;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000033;2012;10;1;0;3;1;2004;;1;;;;;;;;0;;;;2910800;FEIRA DE SANTANA;29;BA;1;1;1;1;142;138;146;150;535.1;608;626.6;643.6;BEDAACDAEEDAAEEEEEAEECBBDDCAACEECADDBBAACDECA;BEBECABAAABDDBCBEEDECACBBCACCABCDAEEAAAAEDEEE;ABDBAAAECEBDDCEDEEEDECCABBACDDCAABAEEAAADAEAD;EABAECCCBAAEDCBAEBCBBBADABBBEDEDDDEAADBDDCABA;0;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;180;60;80;200;40;560;E;H;C;3;A;B;B;A;A;A;D;D;A;D;A;C;D;A;D;D;A;B;5;5;0;5;0;0;0;A;A;C;B;A;D;B;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000034;2012;4;0;0;3;1;2010;;1;;;;;;;;0;;;;1505304;ORIXIMINA;15;PA;1;1;1;1;142;138;148;152;357.6;460.9;498.4;400.8;CCABBECDBDCAEADBBDBCAEBADBADCDACACADBEDCDBACA;AECEACCCCAADDACDEEEEEBECDACBCBEBAABBEDEAEBBCD;ECDDCBABADDAEBCCADADADCCBECEDECBBDAAAEAECBCDA;BBCCBCBCEAEECBAEDBBAEBBBDDCBCEBCABCECBACDCABC;1;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;BDBADAADCBAABAADAEBAAAEBEEDDCABEEDECDDBAACBAEADDED;CCCBCABAEABEAEEEEDEDAADEDCBDDEBDECDBCBEDBDBDD;P;120;120;100;80;80;500;E;C;B;3;A;B;A;D;A;A;D;A;A;A;D;A;A;D;D;D;A;C;3;5;1;5;5;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000035;2012;12;1;0;3;1;2011;;4;;;;;;;;0;;;;2507507;JOAO PESSOA;25;PB;1;1;1;1;144;140;146;150;413.5;464.2;502.2;339.4;DCDCCDCCACDEEBDCCCCCEBADBDAABCDACCCECDCDEEADA;CEEEDBCEBEEBECCBECACDDBDDDBDDDECACCADACCCECEE;CCDAAAADAEBDCCAADDEDCCCBACADCDBAEBEEDACDDEEAB;ECDADABCB.BBCBCCBBCACBABDCCBCCBCCBCCCBBCCCCDC;0;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;80;100;60;60;0;300;B;C;D;5;A;B;B;B;B;D;D;D;A;D;A;C;A;D;D;D;B;B;5;5;5;5;5;5;5;A;A;A;E;E;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
