NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062
400000000499;2012;5;0;0;3;1;2010;;1;;;;;;;;0;;;;2507507;JOAO PESSOA;25;PB;1;1;1;1;142;138;146;150;533.8;566.7;507;535.7;DEABABEBEBEAEAEDACAECEEBEBCEDCBAABACECAEDDDCA;BBEECAEADAEDECEEEDEEDECCCECECBAAAAEEAAEECDECC;ABBBDEADAEBDACEDDEEDCAEADEBDEABCACDDDDDDDDABD;DBBEECCED.DEECBCBCECCCBAECCEEDBCCDEBAABC.DDAA;0;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;120;100;100;100;80;500;C;G;D;6;A;B;A;A;A;A;A;A;A;D;A;B;A;A;D;D;A;A;4;3;3;5;3;5;3;F;A;C;B;A;A;A;A;A;B;;;;;;;;;;;;;;;;;;;;;;;
400000000500;2012;12;1;1;1;1;2003;;1;;;;;;;;0;;;;1502103;CAMETA;15;PA;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;B;B;C;3;D;B;A;A;D;A;D;A;A;D;D;A;A;D;D;D;A;A;5;5;5;5;4;5;5;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000501;2012;12;0;1;1;1;2003;;1;;;;;;;;0;;;;4106902;CURITIBA;41;PR;1;1;1;1;144;140;146;150;617.3;652.6;556.3;628.3;DDADECCEAEDABEDAADDAAABACDAEEEEACECCBBCBACAEE;CBBDDCAAEDEAAABDEBADEEBEECEBEBECCCDCAADDDEDCE;ADECDAADAEBDDBEBEEADCDEDDEACBDBDBACABDBDBAEEA;EACEEECCDEBEDBACBAEBDABDABDCEBCDDADDACAEDCABA;1;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;160;160;120;120;120;680;B;C;I;2;C;B;A;A;D;A;A;A;A;D;A;B;A;D;A;D;A;A;0;0;5;5;5;0;5;B;A;A;B;A;A;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000502;2012;5;1;0;3;1;2009;;1;;;;;;;;0;;;;3550308;SAO PAULO;35;SP;1;1;1;1;143;139;146;150;390.2;347.3;473.9;447.8;AEACAEDCDBDCADCCDEAEDDCBACCDBDEDACEBADCCAEDDA;BEDBEDCADABDBBECABAEDADADCEDEAADABEABCDBABCCC;ACEBBACCBBBDCEEDDEACCCBAEBACCABDBCABEDACDADCA;EABACECCEBBEACDACDAAABCBEADCACEBDCBAEABDCAEAD;0;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;120;140;140;120;20;540;A;B;D;6;A;A;A;A;A;A;D;A;A;A;A;C;A;D;D;D;A;A;4;4;4;5;4;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000503;2012;3;1;0;3;1;2011;;1;;;;;;;;0;;;;3510609;CARAPICUIBA;35;SP;1;1;1;1;142;138;148;152;573.6;587.9;588.1;686;DEEBCDCAEBDDEAEDEEAECBBBDADBDCBEAAECBCECCDDCD;AECECBCAAABDABBEEEEDDECDBADCDDAACADBEAEEDDCCA;BDDCDAABACDAEBACCEAEADBBABECDECDBEAACBAEAEEAC;CABACABAEABEDEEEEEEDABDECCBDDECDCACDAAEEDDBDB;0;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;BDBADAADCBAABAADAEBAAAEBEEDDCABEEDECDDBAACBAEADDED;CCCBCABAEABEAEEEEDEDAADEDCBDDEBDECDBCBEDBDBDD;P;160;120;120;120;20;540;E;F;D;4;A;B;C;B;B;A;A;A;A;B;A;C;A;A;D;D;C;A;3;3;5;5;3;5;2;A;A;C;A;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000504;2012;6;1;0;3;1;2009;;1;;;;;;;;0;;;;3205101;VIANA;32;ES;1;1;1;1;142;138;146;150;478.7;540.3;487.7;402.9;AEAACCECEDDDAAACCAEEDBBBBDBEEBCDCADECCACCCDEC;BEDECCBAAADECCBBEBEDEECDBABCCAEEDAAEAAEABABEA;DDBABACDABBBCCBCDEEDBCBABEBDBBCEECAADCCBEBDAC;EDDBAEDABDBBACDCCBBABDACEEDACEBADAAECCBCACDCA;1;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;100;100;100;100;0;400;C;E;E;5;A;B;A;A;A;A;A;A;A;A;A;A;A;D;D;D;A;A;5;5;5;5;5;5;5;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000505;2012;11;0;0;1;1;2005;;1;;;;;;;;0;;;;3106200;BELO HORIZONTE;31;MG;1;1;1;1;143;139;146;150;494.4;557.1;517.5;604.5;BEDBBBECCBDBBBECCDEBAABEBECCDEBDDCDADBCEDEBCC;AABDEECDBCCDBCABEABAACCAACAAEDDEDECCDDCAEDECC;DDACEAACAEBDDCECBEEDCACCCBADBADEDDBCDCEDCCCAB;EABEEACDDDDCDCECCCDBBDACADBBECBADDBDEAADDCADA;1;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;120;100;80;100;20;420;B;B;C;5;E;B;B;A;A;A;D;A;A;D;A;B;A;A;D;D;B;B;5;5;0;5;5;5;5;C;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
400000000506;2012;14;1;1;1;2;;1;2;3550308;SAO PAULO;35;SP;2;1;1;0;;;;3550308;SAO PAULO;35;SP;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;I;C;H;4;B;B;A;A;A;A;D;A;A;A;A;A;A;D;D;D;A;B;5;5;0;5;5;5;5;B;A;A;E;E;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000507;2012;4;1;0;3;1;2010;;1;;;;;;;;0;;;;1506187;RONDON DO PARA;15;PA;1;1;1;1;141;137;147;151;408;451.9;482.3;405.7;DBDECBDDCBAEBDEDEBCBAEDEAEDCEDBBBCDDAACCECADB;DAECACBEBECECADDDEAAEEBDDBBDEAEDDCAACBECCAAAA;DDDBCAACAAAEBDACBECADECDACECDCDEBAEDBACDAADCB;ACCBAABBDECAEAADAECAEAABEEAADDDBBABCABDCDCDEA;1;BAEBEEDABDDDABCCBAEEACDCDECEACBDACCBEBACEEBEB;EADBAABDCEBDDCEEEECEBCDADCEDAECABEEEAEEECACDA;ADDBBADABCAADAAABAAAEBEDEABEDDCEBEEACBCDDBADEDAEAD;DEBDDEDAADEDEABEAEEEECCCBCABACBDBEDBDBDDECDBC;P;120;100;100;100;0;420;B;B;B;4;C;B;A;A;A;A;D;A;A;D;D;C;A;D;D;D;A;A;3;5;0;3;4;5;0;B;A;A;B;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000508;2012;7;0;0;3;1;2008;;1;;;;;;;;0;;;;4108304;FOZ DO IGUACU;41;PR;1;1;1;1;142;138;146;150;469;430.8;487;567.8;DBEECDECEEDCEBDAAACEEDCEDBAADCDDDAECCEAECCAAB;ABDCCABEBADEEBEDEBADCBAABBACCDAEDAACCEECBBDEC;ADEABACDABBDDEECDEEDBBEBADEEBAECABCEBDABABDEA;EAB*EECDEDCDDBDECABDBACABEDCEABEAEEBABBDCCAAA;0;CBABDDACEEDABAEBEEAECEACBDDABEBEBBACEBECCCDCD;CEBECAEAAABDDBCDCEEEEECEBDDCCDAADAEEABEEEDAEC;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;100;80;80;100;0;360;D;E;G;6;A;B;A;A;D;B;A;A;A;D;A;C;A;D;D;D;B;A;0;4;4;5;5;5;3;B;A;A;B;A;A;A;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
