NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
210062064637;2024;7;F;1;4;1;1;3;;0;5107958;Tangará da Serra;51;MT;C;E;C;C;3;B;B;A;B;C;A;C;B;A;B;B;A;A;B;B;B;C;A
210062064638;2024;11;M;1;1;1;1;8;;0;3300407;Barra Mansa;33;RJ;G;F;E;D;3;B;D;A;C;C;A;B;B;A;B;B;B;B;A;B;B;C;D
210062064639;2024;4;F;1;1;1;1;2;;0;3544251;Rosana;35;SP;C;B;A;A;3;A;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;C;A
210062064640;2024;4;F;1;3;1;2;0;1;0;2210003;São João do Piauí;22;PI;H;B;D;B;2;A;B;A;B;C;A;C;B;A;A;A;A;B;A;A;A;D;A
210062064641;2024;14;F;1;2;1;2;0;;0;1302603;Manaus;13;AM;H;A;F;A;4;A;A;A;B;C;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064642;2024;12;M;2;3;1;1;12;;0;2408102;Natal;24;RN;E;F;F;D;3;B;J;A;C;C;B;A;B;A;B;B;A;C;A;B;C;C;A
210062064643;2024;4;M;1;3;1;2;0;;0;2101707;Barreirinhas;21;MA;A;D;A;A;4;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064644;2024;13;M;1;2;1;1;0;;0;4314407;Pelotas;43;RS;B;B;C;B;4;A;D;A;B;D;B;A;C;A;B;A;A;C;A;B;B;E;A
210062064645;2024;11;F;1;1;1;1;6;;0;4318903;São Luiz Gonzaga;43;RS;B;B;A;A;3;B;B;A;B;C;A;A;B;A;B;A;A;B;A;B;A;C;A
210062064646;2024;11;F;1;1;1;1;0;;0;4303509;Camaquã;43;RS;C;C;C;F;1;B;B;A;B;B;A;B;B;A;B;A;B;B;A;B;A;B;A
210062064647;2024;3;F;1;1;1;2;0;1;0;3303005;Miracema;33;RJ;E;E;C;B;3;B;C;A;B;C;A;A;B;A;B;B;A;B;A;B;A;D;A
210062064648;2024;2;M;1;1;1;3;0;;1;5221403;Trindade;52;GO;D;F;D;D;3;A;E;A;C;C;B;A;B;A;B;A;A;C;A;B;B;D;A
210062064649;2024;6;M;1;2;1;1;3;;0;2408102;Natal;24;RN;C;F;B;D;4;A;C;A;C;D;B;B;B;A;B;B;A;B;A;B;B;D;A
210062064650;2024;9;M;1;3;1;1;6;;0;3300407;Barra Mansa;33;RJ;B;C;A;F;7;B;H;A;B;C;B;B;B;B;B;B;A;C;A;B;B;E;A
210062064651;2024;10;F;1;3;1;1;6;;0;1600303;Macapá;16;AP;A;B;B;B;6;A;C;A;B;B;A;A;B;A;B;A;A;B;A;B;A;C;A
210062064652;2024;3;M;1;2;1;2;0;1;0;3147105;Pará de Minas;31;MG;D;H;C;F;5;B;G;A;C;D;B;B;B;A;B;B;A;B;A;B;B;D;A
210062064653;2024;1;F;1;3;1;3;0;;1;3148103;Patrocínio;31;MG;G;E;D;D;3;A;J;A;C;C;B;B;B;A;B;B;A;C;A;B;B;B;A
210062064654;2024;11;F;0;2;1;1;8;;0;2917508;Jacobina;29;BA;C;B;A;A;7;B;B;A;B;C;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064655;2024;9;F;2;3;1;1;7;;0;3106200;Belo Horizonte;31;MG;G;F;D;D;2;B;D;A;B;C;B;B;B;A;B;B;B;B;A;B;B;C;A
210062064656;2024;15;M;2;1;1;1;18;;0;3550308;São Paulo;35;SP;G;F;E;E;4;B;Q;B;D;D;C;A;B;A;B;B;B;C;B;B;D;E;D
210062064657;2024;3;M;1;5;1;2;0;1;0;3516200;Franca;35;SP;E;C;A;B;3;B;C;A;B;B;B;C;B;B;B;A;B;C;A;B;C;D;C
210062064658;2024;8;F;2;2;1;3;0;;1;4313409;Novo Hamburgo;43;RS;D;E;C;F;2;A;C;A;B;B;A;B;B;A;B;A;A;B;A;B;A;B;C
210062064659;2024;11;M;0;3;1;1;10;;0;2927408;Salvador;29;BA;E;E;F;F;3;B;C;A;C;D;A;A;B;A;B;B;A;B;B;B;B;C;A
210062064660;2024;9;M;1;4;1;1;1;;0;3302205;Itaperuna;33;RJ;C;A;C;A;7;B;F;A;B;C;A;A;B;A;A;A;A;A;A;B;B;E;A
210062064661;2024;2;M;1;2;1;2;0;1;0;3106200;Belo Horizonte;31;MG;E;C;C;C;4;A;C;A;B;C;A;A;B;A;B;A;A;C;B;B;B;D;A
210062064662;2024;18;F;2;3;1;1;8;;0;4314407;Pelotas;43;RS;D;D;C;B;2;B;B;A;B;C;A;A;B;A;B;B;A;B;A;B;B;C;A
210062064663;2024;20;F;1;3;1;1;18;;0;3552809;Taboão da Serra;35;SP;C;C;C;B;1;B;D;A;B;C;A;A;B;A;B;A;A;B;B;B;A;B;D
210062064664;2024;5;F;1;3;1;1;2;;0;2305233;Horizonte;23;CE;H;F;F;D;3;B;C;A;B;B;A;A;B;A;A;A;A;B;A;B;B;C;A
210062064665;2024;8;M;3;1;1;1;5;;0;5103403;Cuiabá;51;MT;E;E;D;F;3;B;E;A;C;D;C;A;B;B;B;B;A;C;A;B;A;D;B
210062064666;2024;5;F;1;3;1;1;3;;0;3122306;Divinópolis;31;MG;E;G;E;D;2;A;C;A;C;C;B;A;B;A;B;B;B;C;B;B;E;D;A
210062064667;2024;2;F;1;1;1;3;0;;1;3550308;São Paulo;35;SP;E;G;B;E;4;A;N;A;C;C;B;A;B;A;B;A;B;A;A;B;E;D;B
210062064668;2024;2;F;1;2;1;2;0;1;0;4105805;Colombo;41;PR;E;D;A;B;4;A;E;A;B;C;A;B;B;A;A;A;A;B;B;B;B;E;A
210062064669;2024;14;M;0;3;1;1;17;;0;5003207;Corumbá;50;MS;E;E;C;B;4;B;D;A;B;C;B;C;B;A;B;A;A;B;A;A;B;C;A
210062064670;2024;14;F;1;1;1;1;0;;0;3550308;São Paulo;35;SP;A;A;A;B;2;B;D;A;B;B;B;A;B;A;B;B;B;B;B;B;A;C;A
210062064671;2024;3;M;1;3;1;2;0;1;0;3170206;Uberlândia;31;MG;D;D;C;B;3;B;C;A;B;C;B;B;B;A;A;B;A;B;A;B;A;C;A
210062064672;2024;2;M;1;1;1;3;0;;1;3550308;São Paulo;35;SP;G;G;D;D;6;B;M;A;D;D;B;A;C;A;B;B;B;D;A;B;C;E;C
210062064673;2024;11;M;1;4;1;1;11;;0;2211001;Teresina;22;PI;E;E;D;E;6;B;G;A;B;C;B;B;B;A;B;B;A;B;A;B;B;E;A
210062064674;2024;10;M;1;1;1;1;7;;0;2800308;Aracaju;28;SE;H;E;F;D;3;A;C;A;B;C;A;B;B;A;B;A;A;C;A;B;B;D;E
210062064675;2024;3;F;1;3;1;2;0;1;0;3509502;Campinas;35;SP;H;H;B;B;2;A;B;A;B;B;B;A;B;A;B;B;A;B;A;B;A;C;A
210062064676;2024;13;F;4;3;1;1;18;;0;3205002;Serra;32;ES;E;C;A;A;1;B;C;A;B;B;A;A;B;A;A;A;A;A;A;A;A;B;A
210062064677;2024;5;M;1;3;1;1;0;;0;1505304;Oriximiná;15;PA;E;F;A;D;4;A;F;A;B;C;A;B;B;A;A;A;A;A;A;B;B;E;A
210062064678;2024;1;M;2;1;1;3;0;;1;3534401;Osasco;35;SP;G;E;F;F;4;A;O;A;C;C;B;B;B;A;B;B;A;C;A;B;B;D;E
210062064679;2024;4;F;1;3;1;1;1;;0;2305407;Icó;23;CE;D;B;F;F;3;A;A;A;B;B;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064680;2024;3;F;1;1;1;2;0;1;0;1301407;Eirunepé;13;AM;E;E;B;D;3;A;A;A;B;B;A;B;B;A;B;A;A;B;A;A;A;B;A
210062064681;2024;11;M;1;3;1;1;13;;0;2906501;Candeias;29;BA;B;E;B;B;2;A;B;A;C;C;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064682;2024;13;M;1;1;1;1;18;;0;5300108;Brasília;53;DF;C;C;C;C;1;B;K;A;B;B;B;A;B;A;A;B;B;B;B;B;C;C;A
