NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
210062064750;2024;5;M;1;1;1;1;1;;0;3304557;Rio de Janeiro;33;RJ;F;G;F;D;4;A;F;A;B;C;B;A;B;A;B;A;A;B;A;B;B;C;A
210062064751;2024;16;M;2;1;1;1;18;;0;2304400;Fortaleza;23;CE;C;E;C;C;3;B;F;A;B;A;A;A;B;A;A;A;A;C;A;B;A;D;A
210062064752;2024;3;M;1;3;1;2;0;1;0;4205506;Fraiburgo;42;SC;D;C;A;A;5;A;C;A;B;D;C;B;B;A;B;B;B;B;B;B;A;E;A
210062064753;2024;4;M;1;1;1;2;0;1;0;4304804;Carlos Barbosa;43;RS;F;D;E;C;6;B;L;A;C;D;C;A;B;A;B;B;B;D;A;B;B;E;A
210062064754;2024;8;M;1;3;1;1;6;;0;3202405;Guarapari;32;ES;E;E;B;B;5;B;F;A;B;C;A;B;B;A;B;B;A;B;A;B;B;E;A
210062064755;2024;8;M;1;2;1;1;5;;0;2600708;Aliança;26;PE;C;C;B;B;3;B;B;A;B;D;A;B;B;B;A;A;A;B;A;B;B;D;A
210062064756;2024;2;M;0;1;1;3;0;;1;3134400;Iturama;31;MG;E;F;A;D;4;A;G;A;C;D;B;B;B;A;B;B;A;B;B;B;B;C;A
210062064757;2024;5;F;0;1;1;1;0;;0;3152204;Porteirinha;31;MG;E;E;B;B;3;A;C;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064758;2024;2;M;1;1;1;3;0;;1;4314902;Porto Alegre;43;RS;D;E;C;B;7;A;E;A;C;C;B;A;B;A;B;B;A;C;B;B;A;D;A
210062064759;2024;11;F;1;1;1;1;7;;0;4211900;Palhoça;42;SC;A;F;F;D;1;A;B;A;B;A;A;A;B;A;A;A;A;A;A;A;B;B;A
210062064760;2024;13;F;1;3;1;1;12;;0;1501402;Belém;15;PA;C;C;A;A;3;B;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064761;2024;3;F;1;3;1;2;0;1;0;1400100;Boa Vista;14;RR;E;E;C;B;4;A;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;D;A
210062064762;2024;2;F;1;2;1;2;0;1;0;2101004;Arari;21;MA;C;C;A;A;9;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064763;2024;2;M;1;2;1;3;0;;1;2927408;Salvador;29;BA;F;G;E;E;6;A;K;D;B;C;B;A;B;B;B;B;B;D;B;B;E;E;D
210062064764;2024;9;M;1;2;1;1;7;;0;2929909;Seabra;29;BA;E;E;D;D;4;B;H;A;D;D;B;D;C;A;B;B;B;D;B;B;C;E;D
210062064765;2024;2;F;1;1;1;2;0;1;0;4314100;Passo Fundo;43;RS;E;E;D;B;3;B;E;A;B;C;B;A;B;A;B;B;A;B;A;B;A;B;A
210062064766;2024;2;F;1;0;1;2;0;;0;2932408;Uibaí;29;BA;H;H;A;A;3;A;B;A;B;C;A;A;B;A;A;A;A;B;A;A;A;C;A
210062064767;2024;3;M;1;1;1;2;0;1;0;3506003;Bauru;35;SP;D;D;B;D;6;B;B;A;C;D;B;C;B;A;B;B;A;C;B;B;C;E;A
210062064768;2024;6;M;1;3;1;1;3;;0;1506807;Santarém;15;PA;C;F;A;A;5;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;B;A
210062064769;2024;3;M;1;3;1;2;0;1;0;5002704;Campo Grande;50;MS;E;E;D;B;4;B;C;A;C;D;B;A;B;B;B;B;A;C;B;B;B;D;A
210062064770;2024;11;M;1;3;1;1;7;;0;3550308;São Paulo;35;SP;C;C;C;B;1;B;C;A;B;B;A;A;B;A;A;A;A;A;A;A;A;B;A
210062064771;2024;7;M;1;2;1;1;0;;0;2927408;Salvador;29;BA;D;E;B;D;2;B;B;A;B;C;A;A;B;A;B;B;A;B;A;B;A;B;C
210062064772;2024;13;M;2;1;1;1;18;;0;4314902;Porto Alegre;43;RS;D;E;D;D;5;B;P;B;C;D;B;A;B;A;B;B;B;C;A;B;D;E;A
210062064773;2024;4;M;1;1;1;1;1;;0;4309308;Guaíba;43;RS;D;D;D;B;3;A;G;A;C;D;B;A;B;B;B;B;B;C;A;B;C;D;A
210062064774;2024;7;M;1;2;1;1;4;;0;3106200;Belo Horizonte;31;MG;H;D;F;B;7;B;E;A;B;B;A;B;B;A;B;A;A;B;A;B;A;D;A
210062064775;2024;7;M;1;0;1;1;4;;0;1100205;Porto Velho;11;RO;H;D;C;B;5;A;C;A;B;D;A;B;B;B;B;A;A;C;A;B;A;E;A
210062064776;2024;12;M;3;5;1;1;14;;0;3550308;São Paulo;35;SP;D;E;C;B;2;B;C;A;B;C;A;A;B;A;B;B;A;B;B;B;B;C;A
210062064777;2024;7;F;1;2;1;1;4;;0;3505708;Barueri;35;SP;E;G;D;D;2;B;D;A;C;D;B;A;B;A;B;B;A;B;A;B;B;C;A
210062064778;2024;4;F;1;3;1;1;1;;0;2202208;Campo Maior;22;PI;B;C;F;F;4;A;A;A;B;C;A;B;B;A;A;A;A;B;A;B;A;C;A
210062064779;2024;3;M;1;3;1;2;0;1;0;1303403;Parintins;13;AM;C;D;A;A;4;A;B;A;B;B;A;A;A;A;A;A;A;B;A;A;A;B;A
210062064780;2024;1;M;1;3;1;4;0;;0;2307809;Marco;23;CE;F;F;D;B;4;A;J;B;D;D;B;B;B;A;A;B;A;C;A;B;C;C;F
210062064781;2024;10;F;1;3;1;1;8;;0;1502707;Conceição do Araguaia;15;PA;B;E;A;A;5;A;B;A;B;C;A;B;B;A;A;A;A;B;A;B;A;D;A
210062064782;2024;11;M;1;3;1;1;12;;0;1501402;Belém;15;PA;E;C;C;B;3;A;B;A;B;C;A;A;B;A;A;A;A;C;A;B;B;C;A
210062064783;2024;2;F;1;1;1;2;0;1;0;3163706;São Lourenço;31;MG;C;D;A;B;8;A;E;A;B;C;A;A;B;A;B;B;A;C;A;B;B;E;A
210062064784;2024;14;M;2;1;1;1;18;;0;3522406;Itapeva;35;SP;B;B;A;B;4;B;F;A;B;C;B;A;B;A;B;B;B;B;A;B;B;C;A
210062064785;2024;4;F;1;1;1;1;1;;0;4312401;Montenegro;43;RS;B;B;A;A;3;B;B;A;B;B;B;A;B;B;B;B;A;A;A;B;A;B;A
210062064786;2024;8;M;2;3;1;1;4;;0;2211001;Teresina;22;PI;E;E;D;D;5;A;F;A;C;D;B;B;B;A;B;A;A;C;A;B;B;E;A
210062064787;2024;2;F;1;3;1;3;0;;1;1500800;Ananindeua;15;PA;E;F;D;D;4;B;C;A;B;C;A;A;B;A;B;A;A;B;B;B;C;B;D
210062064788;2024;6;M;1;2;1;1;2;;0;5208707;Goiânia;52;GO;E;E;C;B;3;B;E;A;C;C;A;A;B;B;A;B;A;A;A;B;B;D;A
210062064789;2024;4;F;1;3;1;1;1;;0;2208403;Piripiri;22;PI;B;E;C;F;7;A;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;D;A
210062064790;2024;6;F;1;2;1;1;3;;0;3548708;São Bernardo do Campo;35;SP;E;F;C;D;7;A;I;A;C;D;B;B;B;A;B;A;B;B;A;B;B;E;A
210062064791;2024;9;M;1;3;1;1;7;;0;1302603;Manaus;13;AM;F;F;C;D;6;B;E;A;C;C;B;A;B;A;B;B;A;B;B;B;B;B;D
210062064792;2024;3;M;2;1;1;1;1;;0;4127700;Toledo;41;PR;E;C;C;A;4;A;G;A;B;D;C;B;B;B;B;B;B;C;A;B;C;E;A
210062064793;2024;14;F;0;1;1;1;0;;0;4314407;Pelotas;43;RS;C;E;C;D;3;B;J;A;B;C;B;A;B;A;B;B;A;B;A;B;B;C;B
210062064794;2024;9;M;1;1;1;2;0;1;0;4314407;Pelotas;43;RS;B;E;C;B;5;B;C;A;B;C;B;A;B;A;A;A;A;B;A;B;A;C;A
210062064795;2024;12;F;1;0;1;4;0;;0;1506195;Rurópolis;15;PA;A;D;A;B;3;A;A;A;B;B;A;A;A;A;A;A;A;B;A;A;A;B;A
210062064796;2024;3;F;1;3;1;1;2;;0;2927408;Salvador;29;BA;E;E;B;B;2;A;B;A;B;B;A;A;B;A;A;A;A;B;A;B;A;B;A
210062064797;2024;3;F;1;3;1;2;0;1;0;4321600;Tramandaí;43;RS;B;D;F;F;4;A;B;A;B;C;A;B;B;A;B;B;A;C;A;B;A;E;A
210062064798;2024;3;M;1;2;1;2;0;1;0;4314902;Porto Alegre;43;RS;B;D;B;B;7;A;C;A;B;C;A;A;B;B;B;A;A;B;A;B;B;D;A
210062064799;2024;12;F;1;1;1;1;0;;0;2611606;Recife;26;PE;F;E;D;B;5;A;C;A;C;D;B;A;B;A;B;A;B;C;A;B;C;E;D
210062064800;2024;5;M;1;3;1;1;2;;0;5103502;Diamantino;51;MT;B;B;A;B;4;A;C;A;B;C;A;C;B;B;B;A;A;B;A;A;B;E;A
210062064801;2024;1;F;1;1;1;3;0;;1;3525300;Jaú;35;SP;E;F;F;F;4;A;H;A;B;D;D;B;B;A;A;B;A;B;A;B;A;E;D
210062064802;2024;11;F;2;1;1;1;12;;0;3543303;Ribeirão Pires;35;SP;E;D;C;B;2;B;C;A;B;B;A;B;B;A;B;B;A;B;A;B;B;C;A
210062064803;2024;4;M;1;3;1;1;1;;0;3522307;Itapetininga;35;SP;E;E;C;D;4;A;H;D;C;D;B;C;B;B;B;B;B;D;B;B;B;D;A
210062064804;2024;11;M;1;3;1;1;12;;0;2800308;Aracaju;28;SE;E;E;B;D;1;A;A;A;B;B;A;A;B;A;A;A;A;B;A;B;B;B;A
210062064805;2024;3;M;1;2;1;2;0;;0;2908408;Conceição do Coité;29;BA;E;E;A;A;5;A;A;A;B;D;B;B;B;A;A;B;A;B;A;B;B;D;A
210062064806;2024;6;M;1;2;1;2;0;;0;3301702;Duque de Caxias;33;RJ;H;D;C;B;1;B;B;A;B;B;A;A;A;A;B;A;A;A;A;B;A;B;A
210062064807;2024;2;F;1;1;1;3;0;;1;4313508;Osório;43;RS;E;F;F;E;5;B;D;A;B;C;B;B;B;A;B;B;B;C;A;B;A;D;A
210062064808;2024;2;M;1;2;4;3;0;;1;3506102;Bebedouro;35;SP;F;F;E;D;2;B;C;A;C;D;B;A;B;A;B;B;A;B;A;B;A;C;A
210062064809;2024;2;F;1;3;4;3;0;;1;1100189;Pimenta Bueno;11;RO;C;D;B;B;6;A;B;A;B;C;A;A;B;A;B;A;A;B;A;B;A;C;A
210062064810;2024;2;F;1;3;1;2;0;1;0;2614105;Sertânia;26;PE;D;D;B;B;2;A;B;A;B;B;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064811;2024;3;F;1;1;1;2;0;1;0;1302603;Manaus;13;AM;G;E;E;B;5;A;F;A;B;D;B;A;B;A;B;B;A;C;A;B;D;E;A
210062064812;2024;13;M;2;2;1;1;18;;0;3106200;Belo Horizonte;31;MG;B;C;B;B;5;B;C;A;B;C;B;B;B;A;A;B;A;B;A;B;B;C;A
210062064813;2024;11;F;1;3;1;1;9;;0;5300108;Brasília;53;DF;D;D;C;B;3;B;C;A;B;C;A;B;B;B;B;B;A;B;A;B;B;B;A
210062064814;2024;14;M;0;1;1;1;18;;0;2304400;Fortaleza;23;CE;E;D;D;D;4;B;H;D;C;C;B;A;B;A;B;B;B;C;A;B;D;D;D
210062064815;2024;2;M;1;1;1;2;0;1;0;2926608;Ribeira do Pombal;29;BA;B;B;A;A;3;A;A;A;B;C;A;A;B;A;B;A;A;B;A;B;A;B;A
210062064816;2024;14;F;2;2;1;1;18;;0;3301702;Duque de Caxias;33;RJ;D;C;C;B;3;B;E;A;B;B;A;A;B;A;A;A;A;B;A;A;A;B;B
210062064817;2024;5;M;1;3;1;1;2;;0;3152105;Ponte Nova;31;MG;G;H;F;F;2;A;G;A;C;D;B;A;B;A;B;A;A;B;B;B;B;C;A
210062064818;2024;10;F;0;1;1;1;8;;0;2606002;Garanhuns;26;PE;B;C;A;A;2;A;G;A;C;C;B;A;B;A;B;B;A;C;B;B;C;C;A
210062064819;2024;11;F;0;1;1;1;11;;0;4211306;Navegantes;42;SC;E;E;A;C;2;B;F;A;B;C;B;B;B;A;B;B;B;B;B;B;C;C;A
210062064820;2024;3;F;1;1;1;2;0;1;0;4307906;Farroupilha;43;RS;C;D;C;C;4;B;D;A;B;C;C;B;B;A;B;B;B;C;B;B;B;E;A
210062064821;2024;1;F;1;1;1;3;0;;1;3522208;Itapecerica da Serra;35;SP;E;D;B;B;3;A;B;A;B;C;A;A;B;A;B;A;A;B;A;B;B;C;A
210062064822;2024;12;F;2;3;1;1;15;;0;3503901;Arujá;35;SP;A;A;B;B;4;A;C;A;B;B;A;A;B;A;B;B;A;B;A;B;A;B;A
210062064823;2024;4;F;1;1;1;1;2;;0;3509502;Campinas;35;SP;D;D;C;B;5;B;H;A;B;C;C;A;B;A;B;B;B;C;B;B;B;E;A
210062064824;2024;3;M;1;1;1;1;1;;0;4117602;Palmas;41;PR;E;E;C;F;4;A;C;A;B;C;B;A;B;A;B;B;B;B;A;B;B;C;A
210062064825;2024;13;F;1;1;1;1;18;;0;4313409;Novo Hamburgo;43;RS;C;B;C;C;2;B;C;A;D;D;B;A;B;B;B;A;A;C;B;B;B;C;A
210062064826;2024;4;M;1;3;1;2;0;1;0;2914604;Irecê;29;BA;B;A;B;B;2;A;C;A;B;D;D;A;B;A;A;A;A;A;A;A;A;C;A
210062064827;2024;2;F;1;1;1;2;0;1;0;4119905;Ponta Grossa;41;PR;E;E;C;F;6;A;D;A;B;D;B;A;B;A;B;B;A;B;A;B;B;E;A
210062064828;2024;1;F;1;1;1;3;0;;1;4101507;Arapongas;41;PR;F;E;D;D;3;A;G;A;C;D;C;A;B;B;B;B;B;C;B;B;C;D;D
210062064829;2024;1;M;1;3;1;3;0;;1;2911709;Guanambi;29;BA;E;E;A;A;4;A;B;A;B;C;A;B;B;A;B;A;A;B;A;A;A;B;A
210062064830;2024;7;F;1;1;1;1;3;;0;3305109;São João de Meriti;33;RJ;E;D;C;B;4;A;C;A;B;B;A;A;B;A;B;A;A;B;A;B;B;D;B
210062064831;2024;3;F;1;3;1;1;1;;0;1505536;Parauapebas;15;PA;E;E;B;F;4;A;E;A;B;B;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064832;2024;10;M;1;3;1;1;6;;0;3301702;Duque de Caxias;33;RJ;C;D;C;B;4;B;E;A;B;B;A;A;B;A;A;A;A;B;A;A;A;D;B
210062064833;2024;12;M;1;0;1;1;0;;0;3152501;Pouso Alegre;31;MG;A;A;A;A;2;B;C;A;B;C;B;A;B;A;A;A;A;B;A;B;B;C;A
210062064834;2024;12;M;0;1;1;1;13;;0;5001102;Aquidauana;50;MS;B;G;A;D;4;B;F;A;C;C;B;B;B;A;A;A;A;B;A;B;A;C;A
210062064835;2024;3;F;1;3;1;2;0;1;0;1504604;Mocajuba;15;PA;B;D;A;A;5;A;B;A;B;C;A;B;B;A;B;A;A;B;A;B;A;B;A
210062064836;2024;4;F;1;2;1;2;0;1;0;1502103;Cametá;15;PA;C;C;A;A;7;A;A;A;B;B;A;A;B;A;A;A;A;B;A;A;A;A;A
210062064837;2024;9;M;1;3;1;1;6;;0;2201200;Barras;22;PI;C;E;D;D;4;B;D;A;B;D;B;B;B;A;B;B;A;C;A;B;B;C;A
210062064838;2024;6;M;1;1;1;1;3;;0;4313706;Palmeira das Missões;43;RS;A;E;C;C;3;B;C;A;B;C;B;A;B;A;B;A;A;B;A;B;B;C;A
210062064839;2024;10;F;1;1;1;1;7;;0;3122306;Divinópolis;31;MG;G;F;D;B;4;A;K;B;C;D;B;A;B;A;B;B;A;C;B;B;C;E;D
210062064840;2024;8;F;1;2;1;1;4;;0;1500602;Altamira;15;PA;H;D;B;B;2;A;B;A;B;B;B;B;B;A;B;A;A;A;A;B;A;C;A
210062064841;2024;3;F;1;3;1;2;0;1;0;5107602;Rondonópolis;51;MT;C;C;A;B;5;A;A;A;B;C;B;A;B;A;B;A;A;B;B;B;A;E;A
210062064842;2024;1;M;1;3;1;3;0;;1;3550308;São Paulo;35;SP;D;F;D;B;5;A;G;A;D;D;B;A;B;A;B;B;A;B;A;B;B;B;D
210062064843;2024;4;M;1;3;1;2;0;;0;1500602;Altamira;15;PA;B;B;A;A;1;A;B;A;B;C;A;B;B;A;B;A;A;A;A;B;B;B;A
210062064844;2024;2;F;1;3;2;2;0;1;0;3550308;São Paulo;35;SP;H;H;B;B;7;B;C;A;C;D;B;A;B;A;B;B;B;B;A;B;B;D;A
210062064845;2024;3;M;1;2;1;2;0;1;0;4101002;Ampére;41;PR;B;E;C;B;3;A;D;A;C;D;A;B;C;A;B;B;A;B;B;B;A;D;A
210062064846;2024;11;F;1;1;1;1;12;;0;4310207;Ijuí;43;RS;F;G;D;D;2;B;C;A;B;B;B;A;B;A;B;A;A;B;A;B;B;B;A
210062064847;2024;2;F;1;1;1;3;0;;1;4314902;Porto Alegre;43;RS;D;E;C;B;3;A;A;A;B;C;A;A;B;A;B;A;A;B;A;B;A;B;A
210062064848;2024;14;F;1;2;1;1;18;;0;4309308;Guaíba;43;RS;D;F;F;D;7;B;E;A;B;C;A;A;B;A;B;A;A;C;B;B;A;E;A
210062064849;2024;11;M;2;3;1;1;9;;0;5300108;Brasília;53;DF;D;E;C;B;2;B;H;A;B;C;B;A;B;A;B;B;B;B;A;B;B;C;A
210062064850;2024;15;F;3;2;1;1;0;;0;3302007;Itaguaí;33;RJ;B;A;A;A;3;B;B;A;B;C;A;A;B;A;B;B;A;B;A;B;A;D;A
210062064851;2024;3;M;1;3;1;2;0;1;0;3550308;São Paulo;35;SP;H;E;F;F;3;B;A;A;B;B;B;A;B;B;B;B;B;C;A;B;A;D;A
210062064852;2024;2;F;1;3;1;3;0;;1;3304805;São Fidélis;33;RJ;A;E;F;B;4;A;D;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064853;2024;13;F;1;1;1;1;9;;0;1502400;Castanhal;15;PA;B;B;A;A;3;A;A;A;B;C;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064854;2024;3;M;1;1;1;1;1;;0;5208707;Goiânia;52;GO;B;E;D;D;1;A;F;A;B;B;A;A;B;A;B;B;A;A;A;B;B;B;A
210062064855;2024;1;F;1;1;1;3;0;;1;5208707;Goiânia;52;GO;F;G;D;D;5;A;H;A;C;C;B;A;B;A;B;B;A;B;A;B;B;D;A
210062064856;2024;3;F;1;3;1;1;1;;0;3304557;Rio de Janeiro;33;RJ;E;E;C;D;4;A;C;A;B;C;B;A;B;A;B;B;A;C;B;B;A;E;A
210062064857;2024;11;F;1;1;1;1;11;;0;2601201;Arcoverde;26;PE;E;E;B;B;1;A;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;B;A
210062064858;2024;4;M;1;1;1;1;1;;0;3168606;Teófilo Otoni;31;MG;F;F;E;E;2;B;G;A;C;D;B;A;B;A;B;B;B;C;B;B;C;B;B
210062064859;2024;13;F;0;1;1;1;18;;0;4314407;Pelotas;43;RS;E;B;B;B;5;B;E;A;B;C;B;A;B;A;B;B;A;C;B;B;A;D;A
210062064860;2024;7;F;2;1;1;1;5;;0;4308508;Frederico Westphalen;43;RS;B;B;B;B;2;B;G;A;B;B;B;A;B;A;B;B;A;B;A;B;B;C;A
210062064861;2024;4;M;1;3;1;3;0;;1;3300100;Angra dos Reis;33;RJ;E;E;D;D;4;A;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;C;A
210062064862;2024;8;M;2;1;1;1;5;;0;4307005;Erechim;43;RS;H;F;A;D;2;B;E;A;B;C;A;C;B;A;B;B;A;B;B;B;C;B;A
210062064863;2024;13;M;1;1;1;1;18;;0;3523107;Itaquaquecetuba;35;SP;C;C;C;B;3;B;D;A;B;B;B;B;B;A;B;A;B;B;A;A;A;D;A
210062064864;2024;11;F;1;3;1;1;11;;0;4304606;Canoas;43;RS;D;G;F;D;1;B;F;A;B;C;A;A;B;A;B;B;B;B;B;B;B;B;E
210062064865;2024;6;M;1;1;1;1;3;;0;4302808;Caçapava do Sul;43;RS;H;F;F;D;2;B;C;A;B;C;B;A;B;A;B;B;A;B;A;B;B;C;A
210062064866;2024;12;F;1;1;1;1;16;;0;4318903;São Luiz Gonzaga;43;RS;B;B;A;B;4;B;C;A;B;C;A;A;B;A;B;B;B;B;A;B;A;C;A
210062064867;2024;14;F;2;1;1;1;18;;0;4317509;Santo Ângelo;43;RS;C;C;A;A;4;B;C;A;B;C;B;A;B;A;A;B;A;B;A;B;A;C;A
210062064868;2024;3;F;1;2;1;2;0;1;0;1302603;Manaus;13;AM;E;D;F;B;11;A;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;C;A
210062064869;2024;12;F;0;1;1;1;14;;0;4313904;Panambi;43;RS;B;C;F;F;3;B;C;A;B;C;B;A;B;A;B;A;A;B;A;B;B;D;A
210062064870;2024;7;M;1;3;1;1;4;;0;2208007;Picos;22;PI;D;E;A;A;5;A;B;A;B;C;A;B;B;A;A;A;A;B;A;B;A;C;A
210062064871;2024;11;F;3;3;1;1;14;;0;4108403;Francisco Beltrão;41;PR;B;D;B;B;2;B;D;A;B;C;A;B;B;A;A;A;A;B;A;B;B;B;A
210062064874;2024;13;F;1;1;1;1;18;;0;4315602;Rio Grande;43;RS;A;B;A;A;2;B;C;A;C;C;A;A;B;A;B;B;A;B;A;B;B;C;A
210062064875;2024;8;M;1;1;1;1;4;;0;4310207;Ijuí;43;RS;C;C;C;B;3;A;C;A;B;B;B;B;B;A;B;B;A;B;A;A;B;D;A
210062064876;2024;4;M;1;1;1;1;2;;0;4310207;Ijuí;43;RS;E;E;D;F;3;A;E;A;B;C;C;A;B;B;B;A;B;B;A;B;B;D;A
210062064877;2024;4;M;1;1;1;1;2;;0;4314407;Pelotas;43;RS;D;D;B;B;4;B;B;A;B;B;A;B;B;A;A;A;A;B;A;B;A;B;A
210062064878;2024;15;F;2;1;1;1;15;;0;4306106;Cruz Alta;43;RS;E;C;E;B;3;B;C;A;B;D;A;A;B;A;B;B;A;B;A;B;A;D;A
210062064879;2024;15;F;2;1;1;1;0;;0;4303509;Camaquã;43;RS;C;C;B;A;3;B;E;A;C;C;B;B;B;A;B;B;B;B;A;B;B;C;A
210062064880;2024;3;M;1;3;1;2;0;1;0;4305108;Caxias do Sul;43;RS;D;E;C;C;4;A;B;A;B;C;B;A;B;A;B;B;A;B;A;B;B;E;A
210062064948;2024;16;F;2;3;1;1;18;;0;4307708;Esteio;43;RS;B;B;F;F;3;B;F;A;D;D;C;A;B;A;B;B;B;C;B;B;C;D;B
210062064949;2024;10;F;1;2;1;1;7;;0;4314902;Porto Alegre;43;RS;D;D;B;C;2;B;B;A;B;C;A;A;B;A;B;B;B;B;A;B;C;B;A
210062064950;2024;13;F;0;1;1;1;18;;0;4303905;Campo Bom;43;RS;C;B;C;C;3;B;H;A;B;C;B;B;B;A;B;B;B;D;B;B;B;D;A
210062064976;2024;10;M;1;3;1;1;8;;0;3304557;Rio de Janeiro;33;RJ;E;E;B;B;4;B;B;A;C;D;B;A;B;A;B;B;B;B;B;B;D;E;B
210062064996;2024;11;F;1;1;1;1;9;;0;4205407;Florianópolis;42;SC;C;E;B;B;3;B;E;A;C;C;A;A;B;A;B;B;A;B;A;B;A;C;A
210062064997;2024;11;M;1;3;1;1;11;;0;2800308;Aracaju;28;SE;H;G;F;D;1;B;C;A;B;C;B;A;B;A;B;A;A;B;A;B;B;B;E
210062064998;2024;11;M;1;2;1;1;10;;0;4301602;Bagé;43;RS;D;D;B;B;1;B;G;A;B;C;A;A;B;A;B;A;A;B;A;B;B;B;A
210062064999;2024;11;M;1;1;1;1;0;;0;4314407;Pelotas;43;RS;H;E;F;B;2;A;C;A;B;C;B;A;B;A;B;B;B;C;A;B;C;C;B
210062065000;2024;6;F;1;3;1;1;3;;0;1400100;Boa Vista;14;RR;E;C;A;B;4;A;C;A;B;C;A;A;B;A;A;A;A;B;A;B;A;E;A
210062065001;2024;4;F;0;1;3;1;1;;0;1400100;Boa Vista;14;RR;D;D;F;F;3;A;C;A;B;B;A;A;B;A;B;A;A;B;A;B;A;D;A
210062065002;2024;5;M;1;1;1;1;2;;0;3550308;São Paulo;35;SP;E;D;B;B;4;B;C;A;B;B;A;A;B;A;B;A;A;B;A;B;B;C;A
210062065003;2024;9;F;1;1;1;1;0;;0;2408904;Parelhas;24;RN;A;H;A;A;2;B;B;A;B;B;A;B;B;A;A;A;A;A;A;A;A;C;A
210062065004;2024;1;M;1;1;1;3;0;;1;3163706;São Lourenço;31;MG;D;G;C;B;4;A;E;A;C;C;B;B;B;A;B;B;B;B;A;B;B;D;A
210062065005;2024;11;F;1;1;1;1;9;;0;4314902;Porto Alegre;43;RS;E;E;B;B;1;B;H;A;B;B;A;A;B;A;B;B;B;B;A;B;A;B;A
210062065006;2024;3;M;1;1;1;3;0;;1;2804805;Nossa Senhora do Socorro;28;SE;D;E;C;C;4;A;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;A
210062065007;2024;5;F;1;1;1;1;3;;0;2931350;Teixeira de Freitas;29;BA;B;E;B;B;4;A;B;A;B;C;A;A;B;A;B;A;A;B;A;B;A;D;A
210062065008;2024;4;F;3;1;1;1;0;;0;4306908;Encruzilhada do Sul;43;RS;B;E;A;A;4;A;B;A;B;C;B;A;B;A;A;A;A;A;A;A;A;C;A
210062065009;2024;4;F;1;1;1;1;1;;0;4128005;Ubiratã;41;PR;D;D;A;F;5;A;G;A;B;C;C;B;B;A;B;B;A;B;B;B;D;E;A
210062065010;2024;9;M;1;2;1;1;6;;0;2515302;Sapé;25;PB;B;B;A;C;4;B;C;A;B;B;A;B;B;A;A;A;A;B;A;B;A;D;A
210062065011;2024;5;M;1;3;1;1;2;;0;3556503;Várzea Paulista;35;SP;E;E;F;B;2;B;F;A;B;C;A;A;B;A;B;B;B;B;B;B;A;C;A
210062065012;2024;1;F;1;3;4;3;0;;1;2110039;Santa Luzia do Paruá;21;MA;G;E;D;C;3;A;F;A;B;C;B;A;B;A;B;B;A;B;A;B;B;D;A
210062065013;2024;16;M;2;3;1;1;0;;0;2408003;Mossoró;24;RN;A;B;A;A;4;A;B;A;C;D;B;A;B;A;B;B;A;C;A;B;B;D;B
210062065014;2024;12;F;2;1;1;1;16;;0;3503901;Arujá;35;SP;D;D;B;B;2;A;G;A;D;D;A;A;B;A;B;B;B;B;B;B;B;C;A
210062065015;2024;3;F;1;3;1;2;0;1;0;3143302;Montes Claros;31;MG;E;D;B;B;2;A;B;A;B;B;A;A;B;A;A;B;A;B;A;B;B;B;A
210062065016;2024;3;F;1;3;3;2;0;1;0;3304557;Rio de Janeiro;33;RJ;G;F;E;E;4;A;O;A;C;D;A;A;B;A;B;A;A;B;B;B;C;E;D
210062065017;2024;17;M;3;3;1;1;18;;0;4125506;São José dos Pinhais;41;PR;B;B;B;B;2;B;K;A;B;C;B;A;B;A;B;A;A;B;B;B;C;C;A
210062065018;2024;1;M;1;1;1;3;0;;1;3504008;Assis;35;SP;G;F;E;D;4;A;M;A;C;D;B;A;B;A;B;B;B;C;A;B;B;D;E
210062065019;2024;3;M;1;3;1;2;0;1;0;2100055;Açailândia;21;MA;A;A;A;A;5;A;A;A;B;C;A;B;B;A;A;A;A;B;A;B;A;B;A
