NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
516647;2024;23013176;2313609;Ubajara;23;CE;2;1;1;2313609;Ubajara;23;CE;1;1;1;1;1421;1386;1397;1409;421.4;385.7;401.7;453.3;AEDAEEBEEEEEAAACECBDADEADCCDBCAACBBEAABBAEAEE;ABAACEEBECEAAEAADDCADACCEBADCBBEAEDBDDAEABCAB;BCABBBBBCBCBDEDDCCECABEAAAABBABBAAAABDACCBEAA;DCCAECCAAAEBBACDCBCDBCDDBCECBC*ADCDABDCADCBBE;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;140;140;120;40;560
1195834;2024;;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;1422;1384;1396;1410;477.8;436.4;510.1;386.7;BCCCBDDAEADEACEDBCDAACECCECECAEBDECACDCCBABDA;BAEAECDEEBBDCDDEBCAADBDABACCDBCCCADBBBABBDCBD;EBDCCEBAECDDDECEBECBBABEEDEAEDBAEBDBDDEEAAEDA;EADACCEBCADDCCBDDCEBCCABBDEDDEBACAACDBEDADCEA;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;160;120;120;80;600
643350;2024;35001636;3550308;São Paulo;35;SP;2;1;1;3550308;São Paulo;35;SP;1;1;1;1;1421;1386;1397;1409;545.7;598.3;597.8;698.8;DDBEDEECACCBECAADDDDEDBADDDAEEBDEBCAADBBAEBAD;ADCCACEEBBAACCDACBBDBEBEDAD.ECDEACDAEDDEBCECB;AACDABBEDABCEBEDDDABCEECBDCDAADDBBCEDDCECBECC;CDBEAADDBABACDDABAECBCCCEDEBCBBDCEDBEAAEDBACA;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;180;140;160;140;740
2321669;2024;21199582;2111300;São Luís;21;MA;1;1;1;2111300;São Luís;21;MA;1;1;1;1;1419;1385;1398;1407;366.2;514.7;517.8;460.1;EBCDDEADADBBBEEEDCCDCCBCDAAEDABEADEACBADBCADA;CABCDDABCABAEDABBAAABDAAE*CBAABBAAAEC*BBADCED;BDADECBCBCEEDCABEAEDAEDEBDEBCDABCCBDDDDDDAECD;AADDBEABBDDADBEBDECABDBCABADAEACBEACABDBADBDD;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;80;100;80;100;40;400
2531851;2024;;;;;;;;;5210406;Itaberaí;52;GO;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
2282878;2024;;;;;;;;;2516201;Sousa;25;PB;1;1;1;1;1421;1386;1397;1409;342.7;404.1;464.4;454.3;AECCECBEBBAEBDDCBDAABDECEDAEACACBAAEDACEABDAB;DCAEABCDAEBCEBDAAEBABDCABACDDECEABDBBDACEBACA;CACCEABAEADACBEBDDCBACABCECBBBAAECEBBDAACBAAD;BEBBBEACABDEBEADCCCABADDBACECEBDCADBBADBDEBCD;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;80;120;120;80;520
3014195;2024;24044970;2401800;Brejinho;24;RN;2;1;1;2411502;Santo Antônio;24;RN;1;1;1;1;1422;1384;1396;1410;429.8;422;419.1;405.8;BCDECEABDDCDBDEDAADECDDDBCBDDBDCCDCABCDBCADEC;DDBBCEECACBDEBBADCDDCDABBDEEDEABBBDDBCDBDCAAC;ECEEDCBDCCADAECADEDDDCCAEEBCDBCBBBDDDADEACDCB;BEADCCBBDCDDACCCCDABBCBCCCACCBCBDDDDEBCDDCCDE;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;80;120;80;120;80;480
715518;2024;33197601;3303609;Paracambi;33;RJ;1;1;1;3302270;Japeri;33;RJ;1;1;1;1;1420;1383;1395;1408;525;570.2;549.4;559.5;EBEBCBCAEDEBDEAACCBDCBBAACDDEEEBDAABEEDACADCC;BABCBEAAEBCDDEBABEDDCABCEBAAEEEAECADCDDADACBC;CABDCECBECBDDCAEECACEBADEBDAACDBDACACCEDADCEA;AEBEBACAEBAACBDCBBBEADBCEDCDCDADCBDDABCCDCCED;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;200;160;180;200;860
4184237;2024;35902597;3550308;São Paulo;35;SP;2;1;1;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
2022728;2024;31105953;3136207;João Monlevade;31;MG;4;1;1;3136207;João Monlevade;31;MG;1;1;1;1;1420;1383;1395;1408;686;695.2;633.6;760.2;EAEDAACCAEEBCABDEDBCBBACDBBABAEACAABDADEBBDDB;CECEBEBBEBADDEEDABCDCAECEDABBAEAEEADCEDEDACBE;CAAAEECBECCDDCADECDCECBDCBDECDCBDDDDCAECADEEB;EECACEDABDABDEDDBBCEBDCCCACBBBAABDCDDBAADCBAD;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;160;180;160;200;200;900
