NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA;CO_PROVA;VL_PERC_COMP1;VL_PERC_COMP2;VL_PERC_COMP3;VL_PERC_COMP4;VL_PERC_COMP5;NU_NOTA_OBJETIVA;TX_RESPOSTAS_OBJETIVA;TX_GABARITO_OBJETIVA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;IN_QSE;Q1;Q2;Q3;Q4;Q5;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q16_6;Q16_7;Q16_8;Q16_9;Q16_10;Q17_1;Q17_2;Q17_3;Q17_4;Q17_5;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30_1;Q30_2;Q30_3;Q30_4;Q31;Q32;Q33_1;Q33_2;Q33_3;Q33_4;Q33_5;Q33_6;Q33_7;Q34_1;Q34_2;Q34_3;Q34_4;Q34_5;Q34_6;Q34_7;Q35;Q36;Q37;Q38;Q39;Q40;Q41;Q42_1;Q42_2;Q42_3;Q42_4;Q42_5;Q43_1;Q43_2;Q43_3;Q43_4;Q43_5;Q44_1;Q44_2;Q44_3;Q44_4;Q44_5;Q44_6;Q44_7;Q44_8;Q44_9;Q44_10;Q44_11;Q44_12;Q44_13;Q44_14;Q44_15;Q44_16;Q45_1;Q45_2;Q45_3;Q45_4;Q45_5;Q45_6;Q45_7;Q45_8;Q46;Q47_1;Q47_2;Q47_3;Q47_4;Q47_5;Q47_6;Q47_7;Q48_1;Q48_2;Q48_3;Q48_4;Q48_5;Q48_6;Q48_7;Q48_8;Q48_9;Q48_10;Q48_11;Q48_12;Q49;Q50;Q51;Q52;Q53;Q54_1;Q54_2;Q54_3;Q54_4;Q54_5;Q54_6;Q54_7;Q54_8;Q55;Q56;Q57_1;Q57_2;Q57_3;Q57_4;Q57_5;Q57_6;Q57_7;Q58_1;Q58_2;Q58_3;Q58_4;Q58_5;Q58_6;Q58_7;Q58_8;Q58_9;Q58_10;Q59_1;Q59_2;Q60_1;Q60_2;Q61_1;Q61_2;Q62_1;Q62_2;Q63_1;Q63_2;Q64_1;Q64_2;Q64_3;Q64_4;Q64_5;Q64_6;Q64_7;Q64_8;Q64_9;Q64_10;Q64_11;Q64_12;Q64_13;Q65_1;Q65_2;Q65_3;Q66;Q67;Q68;Q69_1;Q69_2;Q69_3;Q69_4;Q69_5;Q69_6;Q69_7;Q69_8;Q70;Q71_1;Q71_2;Q71_3;Q71_4;Q71_5;Q71_6;Q72_1;Q72_2;Q72_3;Q72_4;Q72_5;Q72_6;Q72_7;Q73_1;Q73_2;Q73_3;Q73_4;Q73_5;Q73_6
152;2002;5;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;2002;3;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;4;1;1;1;R;39.39;43.14;40.48;48.48;44.44;44.44;CCEBEABCBBDAAEEEBBCBDBCEBCDBBDDBBABCEDEACBBCDCCCBCDABCDDADEECEA;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;62.5;50;62.5;62.5;50;57.5;1;A;B;B;A;A;B;A;A;B;B;A;B;B;C;E;G;C;D;B;H;H;D;A;A;A;A;F;B;F;A;F;B;B;A;A;A;B;B;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;B;A;B;A;B;A;B;A;B;A;A;B;B;B;B;A;9;9;2;0;3;7;0;7;5;7;4;8;7;0;0;8;A;A;B;A;A;B;A;A;B;A;A;B;B;B;A;B;2;2;7;*;*;9;*;*;*;6;9;8;I;F;C;B;A;A;B;B;A;A;B;A;A;C;D;B;A;B;A;B;B;A;B;A;B;A;B;B;A;A;A;B;B;A;F;A;B;E;B;H;C;F;B;B;B;A;B;A;A;A;B;A;B;B;A;E;G;D;B;E;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
154;2002;2;F;1101401;MONTE NEGRO;11;RO;1101401;MONTE NEGRO;11;RO;2;1;1;1;R;18.18;33.33;30.95;27.27;28.89;28.57;BCDCDADBBDDBDEACECBAEDBD CCBCDEBAABECBAEDCECDCECADCBCDBBBBAABDD;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;50;37.5;37.5;62.5;25;42.5;1;A;A;B;A;A;B;B;A;B;B;A;B;B;C;E;C;E;A;K;H;H;B;F;F;B;F;A;A;F;A;F;A;A;A;A;A;B;B;C;A;A;B;B;B;A;A;E;E;C;B;A;B;A;D;B;.;.;.;.;.;.;.;B;A;A;A;A;A;B;B;A;A;B;B;A;A;B;A;B;B;B;B;B;B;C;A;8;5;1;5;8;1;0;3;8;7;4;7;3;6;0;7;A;A;A;B;A;A;A;A;D;A;B;A;A;B;A;B;7;6;8;4;6;5;7;8;2;5;3;8;H;G;E;A;A;A;B;B;B;B;A;A;B;D;D;B;B;B;A;B;B;B;B;C;A;B;C;B;A;B;A;B;A;C;*;A;B;F;F;H;F;C;A;A;B;B;A;B;B;A;B;A;B;A;A;*;B;D;B;A;E;3;6;4;3;5;1;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
155;2002;2;F;1101401;MONTE NEGRO;11;RO;1101401;MONTE NEGRO;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;2002;4;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;V;21.21;13.73;9.52;18.18;15.56;14.29;EEEDEEBEBECCCDEEEDECCCDEBBDDCDDCCDCDABADAADDDDCDCEDCDDECDCDDDDE;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;37.5;25;25;25;25;27.5;1;A;C;A;A;A;B;A;A;B;B;A;B;B;D;E;B;C;J;H;H;H;B;A;F;A;F;A;A;F;A;F;F;B;A;A;A;B;A;D;A;B;C;D;C;H;.;.;.;.;B;B;B;A;D;C;.;.;.;.;.;.;.;A;B;B;B;B;A;B;D;A;.;A;B;A;A;B;A;B;B;B;B;B;B;B;B;5;5;0;1;0;1;2;8;9;3;4;4;5;7;6;0;B;A;B;B;B;B;B;A;*;A;B;B;A;B;B;B;4;3;3;2;2;4;3;5;3;5;6;6;H;G;B;F;D;A;B;B;B;B;A;A;A;D;F;B;B;B;B;*;B;B;C;C;B;B;A;A;A;A;A;A;B;C;A;F;B;A;A;F;B;A;A;B;B;A;A;A;A;A;B;A;A;B;A;B;E;*;D;A;A;.;.;.;.;.;.;.;.;A;B;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;A;B;A
157;2002;2;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;4;1;1;1;R;42.42;47.06;40.48;45.45;44.44;44.44;CCCBBAEDBAAAEDAEBCEBCCCBEECDDDEBBCBCCAEEEBBBEBDCDBCECBDBACAACBE;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;62.5;62.5;50;50;50;55;1;B;A;A;A;A;B;A;A;B;B;A;B;B;D;E;E;E;C;H;G;K;E;B;A;B;A;A;A;F;A;A;A;A;B;A;A;A;*;D;A;A;B;C;B;A;B;C;D;B;A;A;A;A;B;C;B;B;B;B;B;B;B;.;.;.;.;.;.;.;B;B;A;B;A;B;A;B;B;B;B;B;B;B;B;C;B;6;7;2;0;5;4;2;3;6;5;3;;.;8;6;4;B;A;B;B;B;B;A;B;D;A;A;B;A;B;A;B;5;7;8;5;9;8;6;7;6;5;3;5;G;D;C;F;B;A;B;B;B;B;B;A;A;B;E;B;B;B;B;B;B;B;B;B;A;B;A;A;A;B;A;C;C;A;F;E;C;A;F;E;F;E;A;B;B;A;B;A;A;A;B;A;B;B;A;D;B;E;B;A;B;1;8;5;3;4;7;6;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
158;2002;4;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;B;27.27;29.41;19.05;27.27;22.22;25.4;BDACEDDBCDACBEAACABCEADEAEBAEBBCDCABEAACDAEBECDAAACEDCBDABECDAB;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;50;50;50;50;50;50;1;B;C;A;A;A;B;B;A;B;B;A;B;B;F;E;E;E;D;A;D;D;C;A;F;A;F;*;A;F;A;F;F;B;A;A;A;B;A;A;A;A;D;A;A;A;A;C;J;A;B;A;B;B;B;A;B;B;A;B;B;A;B;A;B;A;A;A;A;A;B;A;A;B;C;A;A;A;A;B;A;A;A;B;B;A;A;5;5;0;0;7;0;0;2;4;6;0;4;.;4;5;5;B;B;B;B;B;B;A;B;A;A;B;B;A;B;B;A;5;5;5;5;5;7;*;*;*;*;*;*;H;E;F;B;C;A;B;B;B;B;B;B;B;A;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;A;C;*;C;B;C;B;E;F;C;B;B;B;A;B;A;A;A;B;A;B;A;A;D;E;C;B;F;B;*;4;2;3;3;7;8;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
159;2002;2;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;4;1;1;1;A;51.52;39.22;38.1;48.48;35.56;41.27;DDECDBCCEAAACACAEDAEBBCBEAEDEBADCEBECDBBBACCDBECEEECCDBACECDEBE;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;75;62.5;75;50;75;67.5;1;B;A;B;A;A;B;A;A;B;B;A;B;B;C;E;H;H;D;B;E;E;D;C;A;A;A;C;A;F;A;A;B;A;B;A;A;B;B;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;C;A;B;A;C;A;B;A;B;B;A;B;A;B;C;B;8;8;9;5;0;5;1;8;8;8;0;0;8;9;9;9;A;A;A;A;A;B;A;A;A;A;A;A;A;B;A;B;9;9;*;8;8;9;5;7;7;8;5;5;H;G;A;F;B;A;B;B;A;A;A;A;A;D;A;B;B;B;A;B;B;A;A;B;A;A;A;A;A;C;B;C;D;E;F;E;B;C;B;F;A;B;A;B;B;A;B;A;A;A;A;A;B;B;A;E;D;B;B;A;C;7;5;6;3;8;4;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
160;2002;2;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;2002;9;M;1100262;RIO CRESPO;11;RO;1100262;RIO CRESPO;11;RO;2;1;1;1;B;15.15;13.73;9.52;15.15;13.33;12.7;ACBBECAEDDEEBACCACBDEAAEDCCACBCEADACBDDCBBAABCCDBCBEDECEABCBDEA;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;50;37.5;37.5;37.5;25;37.5;1;B;G;B;A;A;A;*;A;B;B;A;B;B;C;E;B;B;D;J;E;E;C;A;F;B;F;F;A;F;A;F;F;A;B;A;A;B;B;D;A;.;.;.;.;.;.;.;.;.;B;B;A;B;.;.;B;B;A;B;B;B;B;.;.;.;.;.;.;.;C;A;C;D;C;A;A;B;A;B;B;A;B;B;A;B;B;7;8;0;5;6;0;0;0;8;6;9;0;0;6;0;;B;B;B;B;B;B;B;A;A;A;B;B;A;B;A;B;7;8;*;8;7;9;*;*;1;5;5;2;H;H;A;I;D;A;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;A;B;B;B;B;A;A;A;C;A;C;C;D;*;D;B;A;A;H;A;F;B;B;B;A;A;A;A;A;B;A;B;B;A;E;B;B;C;C;A;.;.;.;.;.;.;.;.;B;.;.;.;.;.;.;B;B;B;B;B;A;A;B;B;B;B;A;A
162;2002;11;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;R;21.21;23.53;26.19;21.21;20;22.22;ABBEACDCEDEADBCCBCBEAAABCAECEEDBEABDEEECDDBDACCCABBBCEECACADECD;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;50;50;50;50;50;50;1;A;*;D;A;A;.;A;A;.;.;A;.;.;F;E;.;.;D;B;G;I;.;A;A;A;.;A;A;.;A;.;A;A;A;A;A;B;B;D;A;.;A;A;A;B;B;D;F;A;B;B;B;A;C;A;A;A;A;B;B;A;B;A;B;A;A;A;A;B;F;A;C;A;C;A;A;B;B;.;A;B;B;B;B;B;A;0;0;0;;.;0;0;6;8;5;8;9;6;8;0;0;A;A;A;B;B;A;A;A;A;A;A;B;A;B;A;B;*;7;7;6;7;6;8;*;7;*;7;*;J;J;F;I;B;A;B;B;A;A;A;B;A;E;D;B;B;B;A;B;B;B;A;A;A;A;B;A;A;A;A;C;B;A;E;A;A;C;F;B;F;D;B;B;B;A;B;A;A;A;B;A;B;B;A;*;B;D;F;F;E;1;1;8;1;1;1;1;1;C;B;B;B;B;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A
163;2002;2;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;A;45.45;37.25;35.71;36.36;42.22;39.68;CAEBDCCEEACDCBAABDAEECECEAECBBBBAECDDEDCDDACECDCBECACDBECEDBECA;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;75;75;75;62.5;75;72.5;1;A;A;A;A;A;B;B;A;B;B;B;B;B;A;E;B;C;F;H;C;H;C;B;F;B;F;F;A;F;A;F;A;B;A;A;A;B;B;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;A;A;A;B;A;B;B;B;B;A;C;C;B;9;9;0;8;8;5;7;7;7;8;9;8;9;9;0;9;A;A;A;B;B;B;B;A;A;A;A;B;A;B;A;B;*;*;9;*;*;9;9;9;*;8;9;9;I;I;A;B;B;A;B;B;B;B;B;B;B;D;A;B;B;B;A;B;B;A;A;B;A;B;C;A;A;B;A;C;C;D;F;E;B;C;C;F;A;D;B;B;B;A;B;A;A;A;B;A;B;B;A;D;E;B;F;A;E;6;3;7;2;8;5;4;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
164;2002;6;F;1100262;RIO CRESPO;11;RO;1100262;RIO CRESPO;11;RO;2;1;1;1;A;18.18;25.49;23.81;24.24;26.67;23.81;DBDBCEACDCDEBBBAEBAECCCACAEEDECECBBBBCBDDACEACBAEBCDAEAEEDECEAE;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;50;50;50;37.5;37.5;45;1;A;E;C;A;A;B;A;A;B;B;A;B;B;F;E;A;C;A;H;A;H;B;A;F;B;F;F;A;F;A;F;F;A;B;A;A;B;B;D;A;A;A;A;C;A;B;A;H;C;B;B;B;A;D;A;A;A;B;B;A;A;B;A;B;A;B;A;A;A;D;A;A;B;C;A;.;B;A;A;B;A;B;B;C;B;A;8;8;7;5;9;0;2;3;6;6;0;9;0;8;8;9;A;A;B;B;B;B;A;A;A;A;A;B;A;B;A;B;7;7;8;8;8;8;7;8;6;9;6;7;H;H;B;F;B;A;B;B;A;B;B;A;B;D;E;B;B;B;A;B;B;B;B;B;A;A;B;A;A;B;A;B;C;B;F;E;B;A;F;A;F;E;B;B;B;A;B;A;A;A;B;A;B;B;A;E;B;D;G;A;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
165;2002;5;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;A;21.21;21.57;23.81;24.24;28.89;25.4;AABABCCEBCCBCBCABAABDCCBECCEDABEAEACCDEADCDDECACEABDAEDCCDBCBEE;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;50;62.5;50;50;50;52.5;1;B;D;B;A;A;B;B;B;B;B;B;A;B;E;E;I;I;B;D;G;K;B;A;F;A;F;F;B;F;A;A;F;A;B;A;A;B;B;D;A;A;C;A;B;A;B;A;H;B;A;B;B;A;C;C;B;A;B;B;B;B;B;A;B;A;B;A;A;B;B;A;A;C;C;A;A;B;A;B;B;A;A;B;B;B;B;8;8;4;7;6;5;5;4;7;7;6;6;7;7;8;7;A;B;A;B;A;B;A;A;A;A;B;B;A;B;A;B;7;7;7;6;8;7;6;6;5;7;6;6;I;G;B;F;C;A;B;B;B;A;B;A;B;B;E;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;B;B;*;*;*;*;*;*;*;*;B;*;A;B;B;A;A;A;A;A;B;A;B;A;A;*;*;*;D;E;A;8;7;7;7;8;7;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
166;2002;11;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;1;2;1;1;V;63.64;49.02;42.86;57.58;44.44;49.21;BBEDACABBEBCEECCACABAABEDEAEBAAADADACA BDCBBBADEBECADACACDBDEA;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;62.5;62.5;50;50;50;55;1;B;G;A;A;B;A;B;B;B;B;B;B;B;G;E;A;B;A;G;G;H;.;A;F;F;F;A;A;F;A;F;F;B;B;B;A;B;A;B;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;F;A;A;A;A;A;C;B;A;B;B;B;B;B;B;B;B;0;8;0;9;0;6;0;9;0;8;0;9;0;2;0;7;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;A;B;A;B;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;B;*;B;A;B;B;B;B;B;A;A;D;B;B;B;A;A;B;B;B;B;*;B;B;A;*;*;B;*;C;A;*;*;*;*;*;*;*;*;*;A;A;B;B;A;*;A;A;B;A;B;B;A;*;B;A;*;*;A
167;2002;3;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;A;15.15;17.65;19.05;18.18;15.56;17.46;BDCDDDBACDBAEDCAEEADECDBBEBDDBEECBBCABDBCEAEACECADBADCDDDADEAAD;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;50;62.5;50;50;50;52.5;1;B;B;C;A;E;.;.;A;.;.;A;A;.;C;E;B;B;*;H;E;*;B;A;.;.;.;.;.;.;A;.;.;B;B;.;A;B;C;D;A;B;D;A;C;A;B;C;J;A;B;B;B;A;C;A;A;A;B;A;B;B;B;B;B;B;B;A;.;.;E;A;A;B;C;A;A;B;A;B;B;B;B;B;B;C;B;9;8;5;7;6;0;0;2;.;7;7;7;0;5;8;5;A;A;A;B;A;B;A;A;E;A;B;B;A;B;B;A;7;8;8;7;9;5;8;6;8;8;8;6;I;H;A;F;C;B;B;B;B;B;B;B;A;C;F;B;B;B;B;B;A;B;B;C;C;A;B;B;.;A;B;B;A;C;*;*;D;C;F;B;C;C;A;A;A;A;A;A;A;A;A;A;A;B;A;*;*;*;*;A;C;3;7;5;3;6;4;4;6;A;A;A;B;B;A;A;B;B;B;B;B;A;A;B;B;B;A;A;A
168;2002;4;F;1100403;ALTO PARAISO;11;RO;1100403;ALTO PARAISO;11;RO;2;1;1;1;B;12.12;23.53;26.19;18.18;17.78;20.63;BDBCDDAABDBC*ECABEABEEDADCCDAABACBCEECBDEDEAEACACAABEDAEBCABACE;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;50;50;50;37.5;37.5;45;1;A;D;D;A;A;B;A;A;B;B;A;B;B;D;.;B;B;A;H;A;H;C;A;F;A;F;F;A;F;A;B;A;A;A;A;A;A;A;B;A;C;E;B;B;A;B;C;H;B;B;B;B;A;A;B;.;.;.;.;.;.;.;B;A;A;A;A;A;A;B;A;B;C;C;A;A;B;A;B;B;A;B;B;C;C;B;8;5;6;0;4;9;0;5;8;9;9;0;7;0;6;3;B;A;A;A;B;B;B;A;D;A;B;A;A;B;B;B;6;3;5;3;8;6;4;7;9;6;8;1;H;H;A;F;C;A;B;B;B;B;A;A;B;B;E;B;B;B;.;B;A;B;B;A;B;C;B;C;A;B;A;B;D;E;C;F;F;C;C;D;F;E;B;B;A;B;B;A;A;A;B;A;B;B;B;D;C;E;G;C;E;3;5;6;4;6;3;4;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
169;2002;2;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;B;36.36;27.45;21.43;27.27;28.89;26.98;CBACCCDCDEDDCABCEECEDEBCEEEEEEDBDBBBDABBDABCBCCBAACACBBEEBACDAC;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;75;62.5;62.5;62.5;75;67.5;1;A;A;A;A;A;B;A;A;B;B;A;B;B;D;E;B;C;I;J;E;E;D;B;F;A;F;F;A;F;A;F;A;A;B;A;A;B;A;B;A;A;B;C;B;B;A;E;J;B;A;B;B;A;B;C;.;.;.;.;.;.;.;A;B;A;A;A;A;B;B;A;A;B;B;A;A;B;A;B;B;B;A;A;C;B;B;7;6;5;7;7;7;7;4;5;7;6;7;9;6;9;7;A;A;A;B;A;A;B;A;D;A;A;B;A;B;A;B;6;6;6;6;8;7;6;5;7;7;6;8;G;E;B;F;B;A;B;B;B;B;A;A;A;D;E;B;B;B;A;B;B;B;B;C;B;A;C;A;A;B;A;C;C;E;C;D;B;A;F;B;F;D;B;B;B;A;A;A;A;A;B;A;B;B;A;E;D;B;D;A;C;1;3;3;5;6;5;5;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
170;2002;3;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;V;33.33;35.29;30.95;27.27;35.56;33.33;EECBCACDBEECCDEEACAEDA  EBE  EECB ABBE   DCEAE DDBE  BAD C EEDB;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;62.5;75;50;62.5;75;65;1;B;B;B;A;A;.;A;A;.;.;A;.;.;C;E;B;B;B;D;G;K;C;B;A;B;A;A;A;F;A;F;A;B;A;A;A;.;B;C;A;A;D;B;B;B;A;C;D;C;A;A;B;A;B;A;A;A;A;B;A;B;B;A;A;A;B;A;A;B;C;A;A;B;C;A;A;B;A;B;B;A;B;B;B;B;C;9;8;1;4;5;0;0;5;5;4;4;8;6;8;8;3;A;A;A;B;A;B;A;A;D;A;A;B;A;B;A;B;9;9;7;7;5;8;5;5;5;7;8;8;H;L;B;F;C;A;B;B;A;B;A;A;B;B;E;B;B;B;.;B;B;B;B;B;A;A;A;B;B;B;B;B;A;C;F;A;B;C;F;D;F;E;B;B;B;A;.;A;A;A;B;A;B;B;A;E;D;F;B;A;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
171;2002;3;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;A;33.33;33.33;35.71;39.39;37.78;34.92;ABEBCACABACCCABAEDCDBEDBEACCDDACACEDCBACCBDABCAEBBCDEACEEBACAAE;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;50;50;50;50;50;50;1;B;B;A;A;A;B;A;A;B;B;A;B;B;B;E;G;G;D;B;E;E;D;B;A;A;F;A;A;F;A;B;A;A;A;A;A;B;B;D;A;A;D;B;B;A;B;C;F;A;B;B;B;A;C;B;.;.;.;.;.;.;.;B;A;A;A;A;A;A;B;A;A;B;B;A;A;A;A;B;B;B;A;B;B;B;C;7;7;3;7;8;6;7;5;9;8;6;7;9;6;9;7;A;A;B;A;A;B;A;A;D;A;A;B;A;B;A;B;8;7;6;5;6;9;7;8;5;5;7;8;I;I;F;F;D;B;B;B;B;B;B;B;B;C;A;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;A;A;A;E;B;A;A;D;B;E;F;E;B;B;B;A;A;B;A;B;B;A;B;B;A;*;E;D;B;A;E;1;5;7;6;8;2;3;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
172;2002;2;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;4;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
