NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA;CO_PROVA;VL_PERC_COMP1;VL_PERC_COMP2;VL_PERC_COMP3;VL_PERC_COMP4;VL_PERC_COMP5;NU_NOTA_OBJETIVA;TX_RESPOSTAS_OBJETIVA;TX_GABARITO_OBJETIVA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;IN_QSE;Q1;Q2;Q3;Q4;Q5;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q16_6;Q16_7;Q16_8;Q16_9;Q16_10;Q17_1;Q17_2;Q17_3;Q17_4;Q17_5;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30_1;Q30_2;Q30_3;Q30_4;Q31;Q32;Q33_1;Q33_2;Q33_3;Q33_4;Q33_5;Q33_6;Q33_7;Q34_1;Q34_2;Q34_3;Q34_4;Q34_5;Q34_6;Q34_7;Q35;Q36;Q37;Q38;Q39;Q40;Q41;Q42_1;Q42_2;Q42_3;Q42_4;Q42_5;Q43_1;Q43_2;Q43_3;Q43_4;Q43_5;Q44_1;Q44_2;Q44_3;Q44_4;Q44_5;Q44_6;Q44_7;Q44_8;Q44_9;Q44_10;Q44_11;Q44_12;Q44_13;Q44_14;Q44_15;Q44_16;Q45_1;Q45_2;Q45_3;Q45_4;Q45_5;Q45_6;Q45_7;Q45_8;Q46;Q47_1;Q47_2;Q47_3;Q47_4;Q47_5;Q47_6;Q47_7;Q48_1;Q48_2;Q48_3;Q48_4;Q48_5;Q48_6;Q48_7;Q48_8;Q48_9;Q48_10;Q48_11;Q48_12;Q49;Q50;Q51;Q52;Q53;Q54_1;Q54_2;Q54_3;Q54_4;Q54_5;Q54_6;Q54_7;Q54_8;Q55;Q56;Q57_1;Q57_2;Q57_3;Q57_4;Q57_5;Q57_6;Q57_7;Q58_1;Q58_2;Q58_3;Q58_4;Q58_5;Q58_6;Q58_7;Q58_8;Q58_9;Q58_10;Q59_1;Q59_2;Q60_1;Q60_2;Q61_1;Q61_2;Q62_1;Q62_2;Q63_1;Q63_2;Q64_1;Q64_2;Q64_3;Q64_4;Q64_5;Q64_6;Q64_7;Q64_8;Q64_9;Q64_10;Q64_11;Q64_12;Q64_13;Q65_1;Q65_2;Q65_3;Q66;Q67;Q68;Q69_1;Q69_2;Q69_3;Q69_4;Q69_5;Q69_6;Q69_7;Q69_8;Q70;Q71_1;Q71_2;Q71_3;Q71_4;Q71_5;Q71_6;Q72_1;Q72_2;Q72_3;Q72_4;Q72_5;Q72_6;Q72_7;Q73_1;Q73_2;Q73_3;Q73_4;Q73_5;Q73_6
11;2002;3;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;R;36.36;33.33;28.57;21.21;26.67;30.16;BEBADEDDBAEACBCDCAEABCBCCADDCAACBEEECBCAEBCDADDABAEDBCCACBEDCDE;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;75;50;62.5;62.5;62.5;62.5;1;A;B;A;A;A;B;A;A;B;B;A;B;B;B;E;C;C;C;A;G;H;C;A;F;A;F;F;A;F;A;A;A;A;B;A;A;B;A;B;A;B;B;A;B;A;B;D;F;A;A;B;B;A;B;A;B;A;A;B;A;B;B;A;A;A;A;A;A;A;C;A;A;B;C;A;A;B;A;B;B;A;B;B;B;B;A;6;4;2;7;4;0;0;3;6;7;4;2;0;7;7;0;A;A;B;B;A;B;A;B;A;B;B;A;A;B;B;B;*;3;2;*;6;8;3;4;*;8;6;4;I;H;C;F;C;A;B;B;B;B;B;A;B;E;B;B;B;B;B;B;B;B;B;C;B;C;A;A;A;B;A;C;C;B;D;A;B;C;F;A;D;C;B;B;A;A;A;A;A;B;A;B;B;B;A;E;B;G;D;A;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
12;2002;7;F;1101104;ITAPUA DO OESTE;11;RO;1101104;ITAPUA DO OESTE;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2002;3;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;B;33.33;37.25;21.43;33.33;31.11;31.75;BCACEEABCACCCCDEDDACDECCECEACBEBCCBBBDBDACEDDBEDCEDBDEBDDBDDCCC;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;37.5;37.5;37.5;37.5;37.5;37.5;1;A;B;B;A;A;B;A;A;.;.;A;.;.;E;E;B;B;J;G;G;H;C;B;A;B;F;A;A;F;A;A;A;A;B;A;A;B;B;A;A;B;C;B;C;H;.;.;.;.;A;B;A;A;D;A;A;B;B;B;A;A;A;B;B;B;.;B;A;A;A;A;A;B;B;A;A;B;.;.;.;A;B;B;.;.;.;9;9;7;8;.;0;6;5;8;6;7;8;9;7;8;8;A;A;B;B;B;A;A;A;E;A;A;B;A;B;A;A;2;5;9;2;9;8;6;7;9;8;7;7;H;H;C;F;C;A;B;B;B;B;B;A;A;C;E;B;B;B;B;B;B;B;A;A;A;A;A;A;A;B;A;B;D;A;A;E;B;F;D;A;F;E;B;B;B;.;A;A;A;A;A;A;A;B;A;B;E;F;F;C;G;4;2;7;7;1;2;5;6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
14;2002;2;M;1100130;MACHADINHO D'OESTE;11;RO;1100130;MACHADINHO D'OESTE;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2002;1;M;1100023;ARIQUEMES;11;RO;;;;;;;;1;R;18.18;27.45;21.43;27.27;28.89;25.4;CCEBDACACCAADBEBACBBCDBDCCBCBDEBEEDECAEACDBCBBAEECCBBBAACDEACDE;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;62.5;50;62.5;62.5;75;62.5;1;B;A;A;A;A;B;A;A;B;B;B;B;B;B;E;D;E;A;H;E;E;D;A;A;A;A;A;A;F;A;A;A;A;A;A;A;A;A;D;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;A;C;.;.;A;C;A;B;A;B;B;A;B;B;C;C;B;9;9;4;3;7;4;0;7;8;8;8;8;5;8;8;2;A;A;A;B;A;B;A;A;A;A;A;B;A;B;A;B;5;6;8;5;7;8;7;8;4;4;4;7;I;E;A;F;B;A;B;B;A;B;B;A;B;D;A;B;B;B;A;B;B;B;B;C;B;B;A;B;B;C;B;B;A;C;F;E;B;C;C;F;B;A;B;B;B;A;A;A;A;A;B;A;B;A;A;E;B;D;B;A;E;2;8;5;5;8;4;4;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
16;2002;6;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;B;27.27;23.53;28.57;27.27;24.44;25.4;BEAECEBACDDBADCBDECEDCAEAECCBBAEDDEEDCBECEADEDCDDACACDDECDEEECD;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;62.5;50;62.5;62.5;75;62.5;1;B;E;B;A;A;.;.;A;.;.;.;A;.;.;E;B;B;A;H;I;I;B;A;.;.;.;.;A;.;A;.;.;A;B;A;A;B;B;B;A;.;C;A;A;A;B;C;F;A;A;A;B;B;D;B;.;.;.;.;.;.;.;A;A;A;A;A;A;A;F;A;F;B;C;A;B;A;A;B;B;B;B;B;C;B;B;5;5;0;7;6;0;0;7;7;7;7;6;6;9;7;4;B;A;B;B;B;B;A;B;B;A;B;B;A;A;B;B;7;7;6;6;7;7;6;6;6;6;7;6;H;G;B;*;B;B;B;B;A;B;B;A;A;C;E;B;B;B;A;B;B;B;A;B;A;A;B;B;A;A;B;B;C;B;F;*;A;B;A;B;F;E;A;B;A;A;A;A;A;A;B;A;B;A;A;*;B;E;B;A;B;1;1;5;1;1;5;8;5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
17;2002;7;F;1101401;MONTE NEGRO;11;RO;1101401;MONTE NEGRO;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2002;6;F;1100023;ARIQUEMES;11;RO;;;;;;;;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2002;4;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;V;15.15;21.57;19.05;24.24;28.89;22.22;DBDAEADBCADBCDBCCCACDBBAEBDBCBDBEBDACCECBDCACACBCACCADEDBBEACBD;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;37.5;37.5;37.5;37.5;25;35;1;B;C;C;A;E;B;.;.;.;.;.;.;.;D;.;B;C;.;.;D;D;D;A;A;A;.;.;A;.;A;.;*;A;A;A;A;.;C;E;A;A;D;A;B;A;B;C;B;A;B;B;B;A;A;A;A;B;B;B;B;B;B;A;.;.;A;.;A;.;C;A;A;.;C;A;.;B;B;A;A;A;B;A;B;B;A;5;7;0;1;8;0;0;0;7;4;6;3;6;8;8;0;A;A;B;B;B;B;B;B;A;A;A;B;B;B;B;A;*;3;7;2;6;8;5;6;*;6;4;5;A;C;C;F;D;A;B;B;A;B;B;A;B;B;E;B;A;B;B;B;A;A;A;A;A;A;A;A;A;B;A;C;A;A;A;A;A;A;A;B;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;B;*;E;E;B;C;1;5;3;1;4;2;4;2;A;A;B;B;B;A;A;A;B;B;A;A;B;B;B;B;B;B;B;B
20;2002;4;F;1100130;MACHADINHO D'OESTE;11;RO;1100130;MACHADINHO D'OESTE;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
