NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001592265;2019;6;F;1;1;1;1;4;1;1;0;;;;;;;;3530607;Mogi das Cruzes;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;D;C;B;2;C;A;B;B;A;A;B;B;B;B;B;A;B;C;A;B;C;A;A;B
190001475147;2019;4;M;1;4;1;1;1;1;1;0;;;;;;;;2407104;Macaíba;24;RN;1;1;1;1;505;507;511;518;518.2;351.7;417.6;459;DADBBCDBACBDACCEBEAACBECADDBEDACBBEDAADDDECCE;DCEABDAECBADBCADBCDAEBADCEDBACBCCDBAABEDBCBDA;99999EECABDCABEAAACBCDEEDEBBAEACBCAABADEAECCAECBBB;DEACBEBBCBECDAEEBDDBAECBDBAECBCBABDCEDABCEABC;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;120;120;120;20;500;B;C;C;A;4;C;A;C;D;A;A;B;B;A;A;B;A;A;B;B;A;D;A;B;B
190001867756;2019;8;F;2;1;1;1;6;1;1;0;;;;;;;;4101804;Araucária;41;PR;1;1;1;1;506;510;513;517;373.8;393.6;451;484.7;BADCACDEDADAACEADEECDACCBDDBBEAACAEABBEBACCAC;CBABECBCBBDEACABADAECBBECCEBDCACDBDEEAAECBCBE;99999BDDDCBBABECAACCEACDDEABACAADCDBCBBADECBDBDEBC;AADCDCCAEDAEBCECADCEDBEDDAEEBCAEEECAADEDACBBB;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;120;40;40;100;0;300;D;B;F;B;3;C;A;B;C;B;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001133211;2019;6;F;1;1;1;1;1;1;1;0;;;;;;;;2304400;Fortaleza;23;CE;1;1;1;1;505;510;513;518;458.9;441.6;413;399;AAABBD*BBBCCDAECBDECADBACEBACADCEEEDDADEADCED;CDDEDBDABABAAAABDEADAEEDEABCDBBADACEACCDCBDED;99999AADCBCEDDAAAAEEBABCEDACAADEEDEBCCBABACECCEABE;BDDCBACAEDEDBBECBCCAAACDEBCDDAAABBBDACDEBBCDC;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;80;40;40;80;0;240;E;E;E;B;4;D;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A
190001237803;2019;11;F;1;2;1;2;0;2;2;0;3170206;Uberlândia;31;MG;2;1;1;3170206;Uberlândia;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;C;C;4;B;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A
190001493186;2019;4;M;1;2;1;1;1;1;1;0;;;;;;;;2611606;Recife;26;PE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;B;C;F;4;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;B;A;B
190001421547;2019;4;M;1;3;1;3;0;1;;1;;;;;;;;2911709;Guanambi;29;BA;1;1;1;1;506;509;514;517;390.1;453;515.2;461.5;DCCBDDDBABBDBCADACEBCAAACDDEEEDBCBABBBCAEDDDD;BBABCBBBABBAABBAAABBBAAAADAAACAAAAAAAAAAAAAAA;ABBBB99999BAABCCCADBADADCAABDBCCDBBCBADAB.CCBCAAAC;DCDDCCECDDDBDDDDDCCDCDCCBDCCDDCEDDCDDCABDCDDD;0;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;100;120;100;140;60;520;C;C;A;A;4;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001493187;2019;6;F;1;3;1;1;4;1;1;0;;;;;;;;2611606;Recife;26;PE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;C;B;B;3;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B
190001210202;2019;4;F;1;3;1;1;2;1;1;0;;;;;;;;2105401;Itapecuru Mirim;21;MA;1;1;1;1;505;508;512;518;415.7;379.2;470.2;375.1;AECCCACEDDDAEDCABDEEBBCACADCDBDADEBBEDBDCCEDE;BACABBAECECBACBBCDDABBCCBDBEEBCADECEABDECCDAC;AADED99999CDCBABECBBDEDDCEDACBAABBECBDCEEAABEACEEB;CADCBDBBEAECBDBEDACACDACACEBDCBCDDEBCDCDCDCEB;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;140;120;140;120;40;560;C;E;A;A;5;B;A;B;D;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001421549;2019;11;F;2;3;1;1;2;1;;0;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;503;508;512;515;461.9;585;552.1;437.3;CEEEECCCDBBEADBCDBCBAADEDBAEBABEEBBEACBDAEDBD;EBCBADADBCAEDCAADCAEEABCDADDEDEDBBEBCDCAAACAC;99999EDDAACBABAEECDCBEDDCCAABCEAEBAAADDDEAEDCACAED;DCBEAACCABABDAEBCDECAEACAEEEADCEDCDEACEABDDAD;1;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;140;120;140;120;140;660;B;B;A;B;4;G;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;B;B;B
190001595658;2019;11;F;0;1;1;1;13;1;1;0;;;;;;;;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;E;F;B;2;A;A;B;B;A;A;B;A;C;A;B;A;A;D;B;B;C;A;B;B
190002037437;2019;10;F;1;1;1;1;6;1;;0;;;;;;;;5300108;Brasília;53;DF;1;1;1;1;504;509;514;516;576.6;637.3;584.2;673.3;BEEAEEBCEBDAEABCCCCDACBEDBBBBBCDCDDCCCAEDABDC;ACECEEBDABACADBBBABDBEAACEBABCEBBDDEEEDBBD.DB;99999BAB.EDECBCEEEEBDAADDAEEDECBDBEDECDEAECCCCAEEB;BACECECCDDBBABCBBDEACEADADEABCADEBEEDEBBEDCCC;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;140;40;40;140;20;380;E;E;B;B;4;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001421550;2019;6;M;1;3;1;1;4;1;1;0;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;504;507;511;516;455.4;568.9;579.2;524.2;BBCACDCBECBDDCABDACEBBDEDEDCBCDEABDCBACECBBEA;AEBCABAACBDCEDEEEAEDCECBEDBCAABCAEDEACBEBAABD;BDABE99999CCBABDDCEEDAAECBAEAEDCCCCCEBEAADBADDACCE;DCDECBCADBECBCEBADECEDCADDBCAACDEBDCBECBDEEDC;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;120;100;120;40;500;C;D;D;D;4;C;A;B;D;B;B;B;A;A;A;B;A;B;D;B;A;E;A;B;B
190001595659;2019;6;F;1;3;1;1;4;1;1;0;;;;;;;;3548708;São Bernardo do Campo;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;F;C;D;5;C;A;B;C;A;A;B;A;B;A;B;A;B;C;B;A;E;A;A;B
190001421551;2019;11;F;2;3;1;1;9;1;1;0;;;;;;;;2917508;Jacobina;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;E;B;B;4;B;A;B;C;A;A;B;B;B;A;B;A;A;B;B;A;C;A;A;B
190001237804;2019;11;M;1;3;2;1;2;1;;0;;;;;;;;3124104;Esmeraldas;31;MG;1;1;1;1;503;509;514;515;394.3;494.1;479.5;397.5;BDCBDBDECCCBDBBDDCEBBCDDBBDEDDBBBBBCDCDDCBBAC;CECCCCACABBAAABAECEEDCDACCBABCCAACDECBDDBBDEB;BCBAD99999BBBBCCEBCBBEDDAADDACCBABBBBCECADECCABEEC;ECBEBDDCCDDDBBDBBBEDBBDAABCEDCBCBCCBCADCBCCAB;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;140;140;120;120;80;600;H;H;F;F;2;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;C;A;A;A
190001867757;2019;2;F;1;1;1;2;0;3;1;0;4101408;Apucarana;41;PR;4;1;1;4101408;Apucarana;41;PR;1;1;1;1;504;509;514;516;618.2;744.7;636.3;713.7;BACACEDDEBCDEADAAEABBAADBDBBBCCACCBCBCBEDCDDA;ACACEEBCCBABADABEACDBBEBCCCADCEBACCBEEDBBEACB;EBBAD99999BAEBADBDEBDAADCAECAECDDBADBCDAADCBCCAEEB;BEBEAEAADAABABAABDDBAECDDDABCCADECADCCABDCBAC;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;160;200;200;180;160;900;E;E;B;B;2;E;A;B;C;B;A;B;B;B;A;B;A;B;B;B;A;C;B;B;B
190001184600;2019;4;M;1;3;1;1;1;1;1;0;;;;;;;;1600303;Macapá;16;AP;1;1;1;1;505;510;513;518;465.2;513.8;489.9;547.2;ACDDCDBCABECDBCACDBCCDCBEBDCABBCACDCABBDCECAA;ACADCEEBCABDDBAECABABAAADAEBDACBBACCBAEDAABCB;99999ABBDEBBCAEBEDCECBDEADCBDCBCCEDADBBEBDEAEDCEDE;DCBCAECBDDDABDCCBBDBBCEBCBBEBDBECAEBDEADECDDB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;120;80;100;100;520;H;H;B;A;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
