NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075
300000863428;2011;11;M;1;2;1;0;1;1;;;;;;;;0;INSTITUTO FEDERAL DO TOCANTINS - CAMPUS GURUPI;17;TO;2927408;SALVADOR;29;BA;0;0;0;0;121;117;125;129;;;;;;;;;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;F;0;0;0;0;0;0;4;G;E;D;C;A;B;A;5;5;5;5;5;A;B;B;B;B;B;A;A;E;17;5;5;1;5;B;A;B;B;A;A;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;A;D;A;D;A;A;D;A;B;A;D;D;D;D;A
300000870962;2011;4;F;1;1;1;1;1;1;;;;;;;;0;;;;3550308;SAO PAULO;35;SP;1;1;1;1;121;117;125;129;633.6;603.9;618;696.4;CCEADDBBCBAACBACCABDCEAECAACCBCAABBDDDABCBDCA;EDEBAEAEEBDAADACECBBBAAECCCDCDAEABADDBEDEAABA;BDDCAEDDDACDEBAECAACEBCBDAACCBAADDCEBCCACCAEE;BAEEECCADEBBBACEECCBCDEEAECDBEDBEDADCDBCCCAED;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;P;160;100;100;100;100;560;4;E;E;F;A;A;B;B;;;;;;;;;;;;;;;;5;5;1;1;B;A;C;B;A;C;;;;;;;;;;;;;;;;;;;;;;;;B;B;B;B;A;A;A;A;A;A;A;A;A;B;A;D;A;D;B
300000873474;2011;13;F;1;2;1;0;2;1;;;;;;;;0;;;;1506807;SANTAREM;15;PA;1;1;1;1;121;117;125;129;429.8;421.7;465.3;440.3;DCBBECCBDADCECDCDCADDBACDBCBECECCDDBEBCBEBCCE;ADEACBCEEBDBACCDDCEBDABECCADAEDAACBEDBCBCEBDA;CDDDCEDABBEDABCAEDECDABCDEADCAEBEDCCEBCDACEED;DACABDECABDCDEACDBADDABDAEBBDBEDCAEDBADCCEADB;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;P;120;100;100;120;40;480;3;B;A;C;B;D;B;A;1;5;5;5;0;A;A;B;B;A;A;B;B;E;22;5;5;0;5;B;A;A;E;E;A;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;A;A;D;A;D;D;A;D;D;A;D;D;D;D;A
300000862189;2011;14;F;3;1;1;0;2;1;;;;;;;;0;SECRETARIA DE ESTADO DE EDUCAÇÃO DE MINAS GERAIS;31;MG;3548906;SAO CARLOS;35;SP;1;1;1;1;121;117;128;132;428.9;520.4;509.9;474.8;ACBEBDABCDEBECBBCBDCDCCEAAACCAEACDACDCDDDDBCB;ECEABCEECBDCACACDCEAACDCCACCCEAEAABDBDDAAAACB;DC*ACADADCBEDEECDDBADBEBABBCEDADCDBAAECABEEEC;DCDBEDABDCDBCBECACBBDAE.CCCCDAADBCDCCDEDCCACD;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;DEEDBDBDACDEADDDECBECAABCDADABCCEBEACBDEDACBACBEEA;EEABBCECEBCEEEECDABDACBEDDBBCCCADDCBCCDDCCECA;P;100;80;40;40;0;260;3;B;A;C;C;A;B;A;0;5;0;0;0;B;B;B;B;B;B;B;B;D;14;4;5;0;5;B;A;A;B;A;A;;;;;;;;;;;;;;;;;;;;;;;;B;A;B;B;A;D;A;A;A;A;A;D;A;D;A;A;D;D;A
300000868268;2011;12;M;2;3;4;0;2;;;;;;;;;1;;;;5002704;CAMPO GRANDE;50;MS;0;0;0;0;121;117;125;129;;;;;;;;;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;F;0;0;0;0;0;0;3;B;D;C;B;D;B;A;5;4;4;4;3;B;B;B;B;B;B;B;B;A;13;3;3;4;3;A;C;A;F;E;A;B;;;;;;;;;A;0;3;3;5;4;5;0;0;C;2;3;4;5;A;A;A;B;A;A;D;A;D;A;A;A;D;C;A;D;D;D;A
300000860122;2011;15;F;3;1;4;5;1;;;;;;;;;1;;;;4314902;PORTO ALEGRE;43;RS;1;1;1;1;121;117;125;129;445.7;463.3;469.5;338;DCDADBADBBEECCCBDCBAEEDEDCAECCADEBCBDDBDADCCC;DDEEABEDBBDAECAABABACAAAEEDDCEAEAEAEBDCECADBB;BDEDDEDEBAABEBBECADBEAACEBBBDDADADBCDAADECACE;BBCCDECAAECEECEBEAACBAABCBDBCBDCAECBBDADEACCB;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;N;0;0;0;0;0;0;2;B;B;C;A;A;B;A;5;5;5;3;0;B;B;B;B;B;B;B;B;A;16;5;5;5;5;F;E;A;F;A;A;A;E;B;B;B;B;B;B;B;A;0;0;0;5;5;3;5;0;C;5;5;0;5;A;A;B;B;A;D;D;A;D;A;A;D;A;A;A;D;D;D;A
300000873449;2011;2;M;1;1;2;4;1;1;3515400;FARTURA;35;SP;4;1;1;0;;;;4124103;SANTO ANTONIO DA PLATINA;41;PR;1;1;1;1;121;117;126;130;555.4;651.8;602.9;662.5;DCBADAABDBCAEBABCBACDAAADADCBCBDABCBDACBCBDCA;EEABCEAEEBDAACACECDBBCADCDCDCBAEADADBBEDEDABA;EDEDBDDDCEBDAAACDEDDADDACECCBADDCBAADACABBBEE;EBBEEBCDAACDBBBCEBEDDDABABBEDBAAABBCDCAEDCACC;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EDEDBDDBACDEDCEDDAAACBEBBADDACCECBAEDCBADEACBBCEAE;ABEEEBCEEBCECBADECEDBBCDACBEDBADCCDCDDCCECACC;P;80;120;80;80;80;440;4;E;E;E;A;A;B;B;;;;;;;;;;;;;;;;3;5;2;0;B;A;B;B;A;C;;;;;;;;;;;;;;;;;;;;;;;;B;A;B;B;B;A;A;B;B;A;A;A;A;C;A;A;D;D;B
300000868769;2011;2;F;1;2;2;8;1;1;2910800;FEIRA DE SANTANA;29;BA;2;1;1;0;;;;2910800;FEIRA DE SANTANA;29;BA;1;1;1;1;121;117;128;132;367.8;426.5;490.5;406.7;ACECDEABCEABEDDEDDCAECAECDBDACEACEABCBDACECCB;EDCDCEAEDBDACBCDECEDBEDAEDACDECDADBEEBDEBEECA;AEECEDBCDDACEAECDEBCDBEBAECEADCCBEECECAABEEEA;CADBDACBDECBAEADAACBADBBCBBAEABABEABDEBCCADBE;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;DEEDBDBDACDEADDDECBECAABCDADABCCEBEACBDEDACBACBEEA;EEABBCECEBCEEEECDABDACBEDDBBCCCADDCBCCDDCCECA;P;100;140;120;80;60;500;6;B;B;B;A;A;B;B;;;;;;;;;;;;;;;;3;5;0;5;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;B;A;B;B;A;A;A;D;D;D;A;D;A;C;D;D;D;D;A
300000860138;2011;1;F;1;4;3;0;1;;;;;;;;;0;;;;5002704;CAMPO GRANDE;50;MS;1;1;1;1;121;117;125;129;361.8;384.1;363.9;405.5;ACBEBEDDCCABACDEABBEDCDBABBDCEACEEDC...EBB*CD;BDCBCBAECBBCDCADDABDCEDBEBADCCBDEAADBDACDEACE;BAEDAEACACADDECABECBDDBEEAACDCBCEEAACBDDCA**B;BCEBAAEDECCBEABAABBBDEDCEDBACEECCACDBDEAECBDA;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;P;100;120;80;80;80;460;4;B;D;D;A;A;B;B;;;;;;;;;;;;;;;;5;5;3;5;F;A;A;F;A;A;;;;;;;;;;;;;;;;;;;;;;;;B;A;B;B;C;B;B;A;B;A;B;B;A;C;A;D;A;D;B
300000868801;2011;2;F;1;3;2;0;2;1;2609600;OLINDA;26;PE;2;1;1;0;SECRETARIA DE ESTADO DE EDUCAÇÃO DA BAHIA;29;BA;2609600;OLINDA;26;PE;1;1;1;1;121;117;127;131;363.5;339.5;418.6;359.4;BDBBECEEACACEEDBCEDDDEEBDCDCBDDCDCABBEAACEACA;ADBAABBADCCEECDDCAADCCCECBADBDCCDBDBBBACEBBAC;DCABDECBECABAECBEAAACABCDB*BBABEEDBCEABCDCDCE;BECBCBDCEECCBCEBDBBDACDCCCCADBCCABCBDBABBEACA;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDDBDCAEDECDADDCAABBEDACBADECCEABDAEBCDCBABCEAE;EEBACBBCEEEECABDEECBCDBACBDEDADCCBCDCCECACCDD;P;120;140;100;120;60;540;7;C;C;C;A;A;B;B;;;;;;;;;;;;;;;;5;5;5;5;F;A;A;B;A;A;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;B;A;B;A;B;A;A;D;D;A;A;D;D;D;A
300000861351;2011;1;M;1;3;3;0;2;;;;;;;;;0;;;;1500800;ANANINDEUA;15;PA;1;1;1;1;121;117;125;129;532.5;515.6;453.8;532.8;BCEAACEDBCEEADABDEBECEBEDAACEACBAEDCDEDBEAACA;EDEAABCECBBAACACDDBEBCAECDBDDAAEECBDBBBCADADC;ADABBEDCBADAEEDECDBAADCBBEADABCCDDABECDBCEADE;BAECACCAEACDBDAECBEEBDAEBCBDAEBCDEBCCAEDBACAD;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;P;120;100;100;120;60;500;8;D;E;D;A;B;B;B;;;;;;;;;;;;;;;;5;5;1;1;B;A;D;F;A;A;;;;;;;;;;;;;;;;;;;;;;;;B;B;B;B;A;A;D;D;D;A;A;D;D;B;D;D;D;D;A
300000864425;2011;12;F;2;1;1;0;2;1;;;;;;;;0;;;;3305208;SAO PEDRO DA ALDEIA;33;RJ;0;0;0;0;121;117;125;129;;;;;;;;;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;F;0;0;0;0;0;0;3;E;E;C;B;A;B;B;;;;;;;;;;;;;;;;3;5;4;5;C;A;A;B;A;A;;;;;;;;;;;;;;;;;;;;;;;;B;A;B;B;A;D;D;A;A;A;A;D;D;A;A;D;D;D;A
300000861947;2011;10;F;1;2;2;1;1;1;4122172;RIO BRANCO DO IVAI;41;PR;2;1;1;0;;;;4111506;IVAIPORA;41;PR;1;1;1;1;121;117;125;129;373.5;381;468.4;449.8;DAADBBBEABCAADDEDCBCADBADACDEBCDEBCAEDBCADBDC;BDEEAAAEDBABDCCCCACBCEDDCAAAADCDABEAEBAEDCBCB;CCCDEACDBAADEDBECAABADABDAEBEEDDAEDABCAAEEAAE;BCCAAAEABEDABECBDABCDEACBDBECDAC*EDABDACEDCAC;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;P;60;60;60;60;40;280;3;B;B;B;A;D;A;A;5;0;0;5;5;B;B;B;B;B;A;B;B;A;21;5;5;0;5;F;E;A;B;A;A;;;;;;;;;;;;;;;;;;;;;;;;A;A;B;B;D;A;A;D;D;D;A;D;D;B;D;D;D;D;A
